,X601857.SH,X600028.SH,X601088.SH,X600019.SH,X600585.SH,X600010.SH,X600011.SH,X600309.SH,X601898.SH,X601600.SH,X600688.SH,X600188.SH,X600795.SH,X002466.SZ,X601992.SH,X600362.SH,X600660.SH,X601991.SH,X600547.SH,X300072.SZ,X600886.SH,X600111.SH,X000709.SZ,X600157.SH,X600027.SH,X002460.SZ,X600516.SH,X000898.SZ,X000959.SZ,X600339.SH,X600489.SH,X601158.SH,X600808.SH,X002092.SZ,X002271.SZ,X600352.SH,X600219.SH,X000883.SZ,X600176.SH,X000983.SZ,X000630.SZ,X000723.SZ,X600299.SH,X600578.SH,X600549.SH,X000792.SZ,X600008.SH,X000408.SZ,X000060.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X000630.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0921895607819927,0,0,0,0.0747813908922392,0,0,0,0.0249604774996377,0.0124044087756953,0,0,0.060380114743326,0.0575686520255644,0,0.0559880124912997,0.0145101953501924,0,0,0,0,0,0.100437830142437,0,0,0,0,0,0,0.0283162727147696,0.0214624419227872,0.126494599730799,0,-0.0161612177050356,0,0,0,0,0,0,0
X000723.SZ,0,0,0,0,0,0,0,-0.197958993743951,0,0,0,0,0,0,0,0,0.100756588585711,0,0,0,0,0,0,0.0349346433075196,0,-0.160252806571905,0,0,0,0.0965160542539361,0,0,0.093435401768634,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0279481002108669,-0.112243781550221,0,0,-0.0117287730502766,0.0272993151658834,0,0,0,0,0,0
X600299.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0521324201659377,0,0,-0.0389961121246447,0,0.0723798200682041,0,0,0,0,0.512997450077816,0,-0.00905861457659614,-0.118194102076338,0,0,0,0.124683646869765,0,0,0.0823076148752648,0,0,0,0,0,-0.0434160419942239,0,0,0,0,0,0.35891609904177,0,0.074678792595463,0,0.074576079439514,-0.0220938456880774,0.0839792935467798,0,0,0,0,0,0
X600578.SH,0,0,0,0,0,0,0,0,0,0,0,-8.67361737988404e-19,0,0,0.202976672458443,0,0,0,0,-0.0574053269267211,0,0,0,0,0,-0.0112745010288146,0,0,0,0.045836156130287,0,0,0,0.066132942295081,0,0,0,0,0.052713973886102,0.171669114580203,0,0,0,0,0.0284871110490615,0,0,0,0,0,-0.0127027918364597,-0.0323670358057766,0,0,0,0,0,0
X600549.SH,0,0,0,0,0,0,0,0,0,0,0,0,-0.196689095372948,0,0,0,0,0,0,0,0,0.387231679404275,0,0,0,0,0,0,0,0.0612630652063266,0,0,0,0,0,0,0,0,0.396977239305122,0.12592204661564,0,0,0,0,0,0,0,0,0,0,-0.00164659202381125,0,0,0,0,0,0,0
X000792.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13133578872661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.29725346031119,0,0,0,0,0.0395103533438355,0.0328351463172501,0,0,0,0,0,0,0,0.312593320323893,0,0.124657002040392,0,0.056723819042014,0,0,0.227828461222834,-0.0561090115928258,0.122201967886866,0,0,0,0,0,0
X600008.SH,0,0,-0.363091096104273,0,0,0,0,0,0,0,0,0,0,0,0.617565107932883,0,-0.0902808041866056,0.071377118441232,0,0,0,0,0,0,0,0,0,0,0.207532716967876,0.0556236905247856,0,0,0,0,0,0,0,0,0,0.048774764696955,0,0,0,0,0,0.0217981346917921,0,0.117163537421669,0,0,-0.0213235683178715,-0.00414566746471943,0,0,0,0,0,0
X000408.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.257439002267849,0,0,0,0,0,0,0,0,0,0,0,0,0.353623827690855,0,0,0,1.0842021724855e-19,0,0,0,0,0,0,0,0,0,0,0,0,0.195318462030236,0,0,0,-0.0533435933953337,0,0,0,0,0.0391498766052053,0,0
X000060.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0472545657296016,0,0,0,0,0,0.0065088756330254,0,0,0,0.0625265419299535,0,0,0,0,0,0,0.26253789480156,0.00724209466431282,0,0,0,0,0.0686961082590323,0.0291038368100313,0.239828683563314,0,0,0,0.0529601413460672,0,0.0503232361289357,0,0,0,0.00474235639940573,0,0,0,0,0,0,0
Change_TY3M,0,0,0,0,0,0,0,-0.206140164307943,0,0,0,0,0,0.110090676084245,0.0427243413125023,0,0,0,0,0,0,0,0,0,0,0,-0.0819224609168772,0,0,0,0,0,-0.0313877915791101,-0.0505181612843731,0.0687646563477331,0,0,0,0,-0.0510322716381879,0,0,0,-0.265366818596329,0,0.11564036116515,0,0,0,0,0.0228658433116635,-0.0514055956801634,0,0,0,0,0,0
Slope,0,0,0,0,-5.55111512312578e-17,0,0,-0.232069619919061,0,0,0,0,0,-0.564640616378748,0,0,0,0,0,0,2.15791527365809,0,0,0,0,-0.180205099129383,0,-0.268530915826059,0,0,0,0,0,0,0.449093938158907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.04626039753282,0,0,0,0,0,0
TED,0,0,0,0,0,0,0,-0.13623918155846,0,0,0,0,0,-0.359829898198316,0,0,0,0,0,0.797299075289954,0,-0.795053583522248,0,0,0,-0.115836316191103,0.374375456157896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0611662003622715,0,0,0.0628343696863145,0,0,0,0,-2.30946877895783,0,0
RealEstate_excess,0,0,0,0,-0.0990683012649754,0,-0.0911633368471425,-0.0553539110556038,0,0,0,-0.136678706205012,0,0,0,-0.0423935456573841,0,0,0,0,0,0,0,0,0,0.0362669318763308,-0.0788880712004186,0,-0.0817362566291911,0.00172033861934434,0,0,0,0,0.205818096085183,0,0,0,0,-0.0483518845998265,0,0,0,0,0,-0.119707833557469,0,0.144982471503719,0,0,-0.0310137068870203,0.0169934322071533,0,0,0,0,0,0
MKreturn,0,0,0,0,0,-0.0332511342475673,0,0,0,0,0,0,0,0,0,0,0,-0.0570684187395691,0,0,0,0,0,0,0,0,-0.0104749206673427,0,0,0,0,0,0,0,0.0364767797728934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00635685906932344,-0.0273664416391643,0.116342392991687,0,0,0,0,0
MKvol,0,-0.00138170064859981,0,0,0,0,0,0,0,0,0,0,0,-1.6940658945086e-21,0,0,0,0,0,0,0,-0.000468502984080741,0,0,0,0,0,0,-0.00155726805758091,0,0,0,0,0.000898412522331439,0,0,0,0,8.470329472543e-22,0,0,0,0.000954920460352502,0,-4.03809272027307e-05,0,0,0,0,0,-0.000857549049332144,0.00101789892787116,0,0,0,0,0,0
CarbonVol_Shenzhen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00523781308374134,0,0,0,0.0645015425145931,-0.00391942590040202,0,0,0,0,0,0,0.0445813746658557,-0.0732414156778372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.02701511599361,0,0,0,-0.0537297751169889,0,0,0,0,0,0,0
CarbonVol_Guangdong,0,0,0,0,-0.0258442977344706,0,0,0,0,0.0231992304846018,0,0,0,0,0,0,0,-0.00710352713226158,0,-0.0385779870785672,0,0,0,0,0,0,0.0147406701179441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0012541433076675,0.00213657431010963,-0.00829442776704259,0,0,-0.00529972167973972,0,0,0,0,0.127494505706584,0,0
CarbonVol_Hubei,0,0,0,0,-0.00705765102752136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00450360702984213,0,0,0.00981704701603691,0,0,0.00449059494764114,-0.0141285022679156,0,0,0,0,0,0,0,0,0,0,0,-0.00989685824800791,0,0,0,0.0061172501058434,0.00324101453868478,0.000919826554481294,0,0,0,-0.0964551823622558,0,0
