,X601857.SH,X600028.SH,X601088.SH,X600309.SH,X600585.SH,X002460.SZ,X600019.SH,X002271.SZ,X600660.SH,X000708.SZ,X601898.SH,X600547.SH,X601600.SH,X600362.SH,X000301.SZ,X002466.SZ,X600111.SH,X000786.SZ,X600010.SH,X600188.SH,X600886.SH,X600176.SH,X600011.SH,X600426.SH,X000027.SZ,X601991.SH,X600803.SH,X600489.SH,X600795.SH,X600219.SH,X600352.SH,X000807.SZ,X600801.SH,X000932.SZ,X600315.SH,X000898.SZ,X600688.SH,X000408.SZ,X000825.SZ,X002080.SZ,X002353.SZ,X600157.SH,X600486.SH,X000959.SZ,X300037.SZ,X002409.SZ,X601699.SH,X000830.SZ,X000883.SZ,X600027.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600157.SH,0,0,0,0,0,0,0,0,-0.000747152269677901,0,0.216415427331147,0.284096776616834,0,0,-0.0954183401352486,0,0,0,0,0.0309916356236573,0,0.0181692348711777,0,0,0,0,0,0,0,0.022234509160041,0,0.0539739383058305,0,0,0,0,0,0,0,0,-0.0653442827255932,0,0,0.0686397405572708,0,0,-0.298142507360836,0,-0.0436695500386519,0,0,0,0,0,0,0,0.0256304521906422,0,0
X600486.SH,0,0,0,0.147108029909245,0,0.0360813789372533,0,0,0.0762930430748372,0,0.266448565245084,0,0,0,0,0.0135471441658904,0,0,0.0314989265766356,0,0,0.542101790310684,0,0,-0.0324439505722484,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.364547177850184,0,0,0,0,0,0,0.0467129251606792,0,0,0,0,0,0,0,0,0,0,0.0394975747464847,0,0
X000959.SZ,0,0,0,0,0,0,0.00446911184246797,0,0,0.0880867475973935,0,0,0.0525808894370556,0,0,0,0.0923390777672748,0,0,0.289859337875224,0,0,0,0,0.0329461092649368,0,0,0,0,0,0,0.0156481712952724,0,0,0,0.0478115018911803,0,0.0313337868419605,0,0,0,0,0,0,-0.104460859897468,0,0.0528865471529719,0,0,0,0,0,0,0,0,0,-0.0220138171111475,0,0
X300037.SZ,0,0,0,8.67361737988404e-19,0,0.419332532643282,0,0,0,0,0,0,-0.0600960637839893,0,0,0,0.263134587080745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.235788373337312,0,-0.091869784800042,0.154744149975648,0,0,0.132137207989083,0,0,0,0,0,0,0,0,0,-0.0635843754649321,0,0,0,0,0,0,0,0,0.00487066898007362,0,0
X002409.SZ,0,0,0,0,0,0,0,0,0.182142101184472,0.236654880195144,0,0,0,0,0,0,0,0,-0.0577223963967828,0,0,0.138726839601276,0,0.0444071690471381,0,0,0,-0.0557985557242739,0,0,0,-0.123237991902845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0234018009863225,0,0
X601699.SH,0,0,0,0,0,0,0,0,0,0,0.155234668504935,0,0.131122018663306,0.0653908500427562,-0.134846853735965,0,0,0,0,0,0,0,0,0.107536033960733,0,0,0,0,0,0,0,0,0,1.0842021724855e-19,0,0.209473134979452,0,0,0.0693355609462366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0378756717346597,0,0
X000830.SZ,0,0,0,-3.46944695195361e-18,0,0.122704285890912,0,0,0,0,0,0,0.460669207833609,0,0,0,0,0,0,0,0,0.0748607058540912,0,0.314019513624456,0,0,0,0.0674941579126106,0,0.0373483808605572,0,0,0,0,0,0,0,0,0.0306045186888132,0,0,0,0.154083230493529,0,0,0,0,0,0,0,0,0,-0.0836635849982359,0,0,0,-0.003818736400452,0,0
X000883.SZ,0,0,0,-0.123501281761481,0,0,0.115051562992311,0,0,0,0,0,0,-0.111258551425046,0,0,0.215163405904256,0,0,0,0,0,0,0,0.471136786375073,0,0.161222416466785,0,0.739559682316022,0,0,0,0,0.0538327984365189,0,0,0,0,0.0110449017425479,0,0,0,0,0,0,0,0,0,0,0.141803529081679,0,0,0.0137259988021839,0,0,0,-0.0731595365831509,0,0
X600027.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000191040099393362,0,0,0,0,0,0,0.140009856417987,0.311822247594211,0,0,0.104370939029645,0,0,0,0,0,0,0,0.012923411059396,0,0,0,-3.46944695195361e-18,0.0527954266323289,0,0,0,0,0.0200641050192346,0,0,0,0.00409068252950387,0.0757055751240247,0,0,0,0,0,0,0,-0.0064893678206604,0,0
Change_TY3M,0,0,0,0,0,0,0,0,0,0,-0.00430326171456526,-0.062715784173995,0,-0.172854106660244,-3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0597086106510196,0,0,0,0,0,0.0521123551716078,0.0101566011918462,0,0,0,0,0,0,-0.0785831454840511,0,0,0,0,-0.050139278096064,-0.0313477058597987,0,0,0,0,0,0
Slope,0,0,0,0,0,0,0,0,-0.0142217445854638,0,0,0,0.0186863975670753,0,0,0,0,0,-0.0401504643123841,-0.122915431908907,0,0,0,0,0,0,0,0,0,0.173103300868607,0,0,0,-0.15928198847386,-0.125090230796297,0,0,0,0.148441127220917,-0.100018979412464,0,0,0,0,0,0,-0.147970907532464,0.0178841377422595,0.210773400775148,0,0,0,1.04280608818375,0,0,0,-0.238291254322963,0,0
TED,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0302200556368158,0.00315134305858429,0,0,0,0.101425107486854,0,0,0,0,0,-0.0366231415429142,0,0,0,0,0,0,0,0,0.0246850131130867,0,0,0,0,0,0,0,0.0486565616906161,0,0,-0.041592502482009,0,0,0,0,0,0,0.724249405648275,0,0,0,0,0.116470998380707,0,0
RealEstate_excess,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0938890610351431,0,0,-0.0547804710726704,0,-0.0236612579426694,0,0,0,0,0,0,-0.0333279575241711,0,0.0202249993033726,0,0,0,0,-0.0250981379388687,0,0,0.0518804068554091,0,0,0,0,0.127785271168912,0,0.0162215386088025,0.0431667340357382,0,0,0,0,0,0,0,0,0,0,0,0,0
MKreturn,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000175390935132188,0.067293564359228,0,0.012065627398596,0,0,0,0,-0.0297405672725967,0,0,0,0,-0.0274938323282195,0,0,0,0,0,0,0,0,0,0,0.0516631162519426,-0.0130441558347252,0,0,0.0103665380654873,0,0,0,0,0,0.0150665229153162,0.0031097459480942,0,0,0,-0.0271719739544,0,0,0,-0.0167014726804562,0,0
MKvol,0,0,0,0,0,-0.000460660965256251,0,0,0,0,0,0,0.00157912349368778,0,0,1.35525271560688e-20,-0.000972829145649383,0,-0.00186641656906716,-0.00201082694837554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000151019967335568,0,-0.000620890034517081,0,0,0,0,0,-0.000269176945849727,0,-0.00197969521279367,0,0,0,0,-0.00279532687793769,0,0,0,0.000539288034113341,0,0
CarbonVol_Shenzhen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.146515100880028,0,0,0,0,0,0,0,0,-0.0969795719381015,0.155472246031048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0576535536507914,0,-0.198783154332589,0,0,0,-0.88953683895367,0.920301759751162,0,0,0,0,0,0
