,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600019.SH,X600309.SH,X600011.SH,X600010.SH,X601898.SH,X601991.SH,X600660.SH,X600688.SH,X600188.SH,X601600.SH,X600795.SH,X600886.SH,X600362.SH,X000898.SZ,X002466.SZ,X600516.SH,X600547.SH,X600027.SH,X600111.SH,X601992.SH,X300072.SZ,X600176.SH,X002460.SZ,X600352.SH,X000553.SZ,X002110.SZ,X600299.SH,X000932.SZ,X600808.SH,X000709.SZ,X000786.SZ,X600426.SH,X600801.SH,X000883.SZ,X601158.SH,X600339.SH,X600219.SH,X601699.SH,X600583.SH,X600985.SH,X000830.SZ,X000408.SZ,X601003.SH,X000539.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601699.SH,0,0,0,0,0.109382779484376,0,0,0,0,0,0,0,0.401263465598005,0.026332176685643,0,0,0,0,0,0,-0.0676248928448998,0,0,0,0,0,0,0,0,0,0,0,0,0.451064153215425,0,0,0,0,0,0,0,0,0,0.0804624884054394,0,0,0,0,0,-2.16840434497101e-19,-0.00238382223182831,0,0,0,0,0,0
X600583.SH,0,0,0,0,0,0,0,0.0997837223083204,0,0,0,0,0,0.101993629155368,0,0,0,0,0,0,0,0,0,0.0137697363426295,0,0.122720697689205,0.104629904669428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0535510500684526,0,0,0,0,0.0446316624617756,0,0,0.0145145679692111,0.0043303691259183,0,0,0,0,0,0
X600985.SH,0,0,0,0,0,0,0,0.182853007044708,0,0,0,0,0.371755898847962,0,0,0,0,0,-0.0959372062477838,0,0,0,0,0,0,0,0,0,0,0.0677014554707934,0,0,0.0840288118254835,0,0,0,0,0,0,0,0,0,0,0,0,0.155705878291217,0.0194464689301575,0,0,0.0222736139546802,-0.00294910784234793,0,0,0,0,0,0
X000830.SZ,0,0,0,0,0,0.0651717749126653,0,0,0,0,0,0,0,0.20444762486141,0,0,0,0,0,0,0,0,0,0,0,0,0.11728706920707,0.439451278254429,0,0,0,0,0,0,0,0.276230214550403,0,0,0,0,0,0.0238841910765354,0,0,0,0,0,0,0,0.00579242632036737,-0.00423764734298226,0,0,0,0,0,0
X000408.SZ,0,0,0,0,0,0.0493718835373025,0.197635706637061,0,-0.2219323000567,0,0,0,0,0,0,0,0,0,0,0.15535747271204,0.217216005739127,0,0,0.298066858815086,0,0,0.168251345061798,0.13616424428064,0,0,0,0,0,0,0,6.93889390390723e-18,0.0780001973857431,0,0,0,0,-0.228790441086207,0,0,0,0,0,0,0,-0.00975642923197566,0.0203697527634139,0,0,0,0,0,0
X601003.SH,0,0,0,0.0950948095266007,0,0,0,0.130971509584049,0,0,0,0,0,0,0,0,0,0.229068193990427,0,0,0,0,0,0,0,0,0,0,0,0.270917975282911,0,0.244203425360459,-1.38777878078145e-17,0,0,0,0.145459356569967,0,0,-0.0325704767078588,0,0,-0.0940131000273324,-0.0429980150510051,0,0,0,0,0.0459520359289186,-0.0305504504297692,-0.0301077474884853,0,0,0,0,0,0
X000539.SZ,0,0,0,0,0,0,0.0853034167999507,0,0,0,0,0,0,0,0,0,0,0,0.00661021737876794,0.0581957213308922,0,0,0,0,0,0,0.0426473979315303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0228658704453659,0.177780549356025,0.00649644683748958,0,0,0,0,0,-0.000263187719005636,0,0,0,0,0,0,0
Change_TY3M,0,0,0,0,0,0.319818958541626,-0.229765495909407,0,0,0,0,0,0,0,0,0,0,-0.134854538056769,0,0,0,0,0,0,0,0,0.175494470439017,0,-0.0369121949825158,0,-0.474769860666997,0,0,0,0,0,-0.31951713089129,0,0,0,0,0,0,0,-0.0466692479897967,0.155374301908187,0,0,0,0,-0.0238190008158737,0,0,0,0,0,0
Slope,0,0,0,0,0,0,0,1.38777878078145e-17,0,0,0,0,0,0,0,0,0,0.388087686336726,0,0,0,0,0,0,0,0,0,-2.34401435565073,-1.95588758389046,0,0,0,2.56578005924078,0,0,0,0,0,0,0.619584004982172,0,0,0,0.215176995687473,0,-2.10542311309001,0,0,0,0,0,0,0,0,12.788197169042,0,0
TED,0,0,0,0,0,0,-0.545165589470031,0,0,0,2.92660432232225,0,0,0,0,0,0,0,0,-1.75954629972873,0,0,0,0,0.448077444686882,0,0,0,0,0,0,0,0,0,0.0645169195214207,0,0,0,0,-1.88672219552009,0,0,-0.297096252954424,0,0,0,0.993529046946135,0,-0.02152440051756,-0.13429876583769,0,0,0,0,-3.6793456292767,0,0
RealEstate_excess,0,0,0,0,0,0.041258966871549,0.0428998531340608,0,0,0,0,0,0,0,0,0,0,0,0.109400095850167,0,0,0,0,0,0,0,-0.0962635887479732,0,0,0,0,0,0,0,0,-0.0477918017332892,-0.16062459575349,0,0,0,0,0,0,0.0542383490159188,0,0,0,0,0,0.0126179486435517,0.0229407865475711,0,0.0553164157925841,0,0,0,0
MKreturn,0,0,0,0,0,0,-0.0456475459810989,0,0,0,0,0,0,0,0,0,0,0,0.116459280125799,0,0.0138652855729528,0,0,0,0,-0.0180189000785103,0,0,0,0,0.132123525055424,-0.00206601830024657,0,0,0,0,-0.0169507879297119,0,0,0,0,0,0,0,-0.160273583474814,0.0467699903449775,0,0,0,0.000738525848689552,0.00240048662824245,0.246278540814858,0,0,0,0,0
MKvol,0,0,0,0,0,0,-0.0020606829181565,0.00189614817355863,0,0,0,0,0,0,0,0,0,0,0,0,-0.00191800631386464,0,0,0.00096050219877877,0,0,0.00131660812401477,0,0,0.00140494386357778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00271339734260151,0,0,0,0.000935899891632388,-0.00291395543271647,0,0,0,0,0,0
CarbonVol_Shenzhen,0,0,0,0,0,-0.0336194870214148,0,0,0.0078568576725547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0362451439009891,0.0330547242664311,0,0,0,0,0,-0.0300508715094582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0177464697427187,-0.041374434586401,0,0,0,0,0,0
CarbonVol_Guangdong,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0142770578190181,-0.0116601792690391,0,0,0,0,0,-0.0030367543879183,0,0,0,0,0,0,0,0,0,-0.0038147227135211,0,0,0,0,0,0,0,0,0,0,0,0,-0.00272712344506909,0.00924636554526392,0,0,0,0,0,0
CarbonVol_Hubei,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00604847969028436,0,0,0.0100583243582756,0,0,0,0,0,0,0,2.7774903241529e-05,0,0,0,-0.00760091188518841,0,0,-0.00311852847888381,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0144508219633377,0.000810058378963115,0.00738674475462549,0,0,0,0,0,0
