,X601857.SH,X600028.SH,X601088.SH,X600309.SH,X600188.SH,X600019.SH,X600585.SH,X600011.SH,X601898.SH,X600547.SH,X601600.SH,X600660.SH,X600886.SH,X000792.SZ,X002460.SZ,X002466.SZ,X600111.SH,X600010.SH,X000708.SZ,X000301.SZ,X600795.SH,X600426.SH,X000877.SZ,X600362.SH,X601699.SH,X002271.SZ,X000983.SZ,X600027.SH,X600803.SH,X600489.SH,X600176.SH,X601991.SH,X000807.SZ,X600160.SH,X000786.SZ,X000932.SZ,X000408.SZ,X000630.SZ,X600985.SH,X000933.SZ,X600219.SH,X300037.SZ,X000629.SZ,X600688.SH,X600612.SH,X000723.SZ,X002128.SZ,X600157.SH,X002353.SZ,X600096.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600157.SH,0,0,0,0.0923275420105359,-0.0481755453826151,0,0,0,0,0,0,0,0,0,0,0.0813429926636547,0,0,0,0,0,0,0,0,0,0,0.0268987105180421,0,0,0,0,0.123108747602917,0,0.000591499947478865,0,0.104905319899172,0,0,0,0.067476882116689,0,0.00998357668304986,0,0,0,0.0437648413033133,0,0,-0.0150246086080414,0,0,0,-0.0140202556113601,0,0,0,0,0,0
X002353.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.020162136090481,0,-0.162830268673369,0,0,0,0,0,0.140198078779715,0,-0.0271255920257057,0,0,0,0,0,0,-0.180510230118412,0,0,0,0,0,0.090202441912007,0,0.193930686655517,0,0,0.286082678035695,0,0,0,0,0,0,0.0227543799709855,0,0,0,0,0,0,0
X600096.SH,0,0,0,0,0,0,0,-0.0439587196512079,0,0,0.00674144722082554,0.0177998311536957,0,0,0.0309797035103741,0.164487743330876,0.159740205441442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0437331496169339,0,0.0831010649200924,0,0.0554794429143121,0,0,0,0,0,0.257131277002858,0,0,0,0,0,-0.00272613405589649,0,0,0,0,0,0,0
Change_TY3M,0,0,0,0,-0.0888481413425694,0,0,0,0,0,-0.0775809921664874,-0.680825156306949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0373985562768297,0,0,0,0,-0.00897483172147542,0,0,0,0,0,0.0922981948564064,0,0,0,0.113915930212046,0,0,-0.00761484321741449,0,0,0,0,0,0,0
Slope,0,0.50261598252615,0,0,0,-0.0180151883290547,0,0,0,0,0,0,-0.304492111194646,0,0,-0.00630375407945442,0,0,0,0,0,0,0,0,0,0,-6.93889390390723e-18,0,0,0,0,0,0,0,0.627259569819291,-0.299600283153473,0,0,0,0,0,-0.135366087317058,0,0,-0.24557054394897,0,0,0,0,0,0,0,1.06741854456869,0,0,0,-2.19265412561604,0,0
TED,0,0,0,0,0,0,0,0,0,0,-0.0890330099976086,0,0,0,0,0,0,0,0,0,0,0,0.274171134432489,0,0,0,0,0,0,0,0,0,0,-0.022158937978929,0,0,0,0,0.0409816055896223,0,0,0,0,0,-0.125338971800792,0,0,0,0,0,-0.0358505922049999,0.537206577104636,0,-0.119071537617364,0,0,0.309202430259497,0,0
RealEstate_excess,0,0,0,0,0,0,0,0,0,0,-0.0226034256506404,0,0,0,0,-0.0739447596295097,0,0,0.115153695965101,0,0,0,0.0251641400423138,0,0,0,-0.116247434306558,0,0,0,0,0,-0.231809506690512,0,-0.00991624193916772,0,0,0,0,-0.0285071608158143,0,-4.33680868994202e-19,0,0,0,0,0,0,1.73472347597681e-18,0,0,-0.0111248792422291,0,0,0,0,0,0,0
MKreturn,0,0,0.0529755052231897,-0.0255400334888911,0,0.0733094684677496,0,-0.158875252325453,0,0,0,0.141671615890354,0,0,-0.0199795680608311,0,0,0,-0.041174905176684,0,0,0,0,0,0,0,0,0,0,0,0.0872557400084849,-0.0167543090929606,0,0,-0.05774111334164,0,-0.139380397179231,0,0,0,0,0,0,0,-0.0240696897128318,0,0,0,0,0,0,-0.00963701244044789,0,0,0,0,0.0377957317785125,0,0
MKvol,0,0,0,0,-2.71050543121376e-20,0.000675580813254863,0,0.000259794994149975,0,0,0,0,0,0,0,0,0,0,0,0.00211074779728562,0,0,0,0,0.000320632324623348,0,0,0,0,0,0,0,0,-0.000608823367426987,0.000883306588974984,0,0.00130420890429123,0,0,0,0,0,-0.000894270319005362,0,0.000116687712204142,0,0,0,4.2351647362715e-22,0,0,0.00031881007216578,-0.00147246372815652,0,0,0,-0.00728771776765149,0,0
CarbonVol_Shenzhen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00572281574002129,0,0,0,0,0,0,0
CarbonVol_Guangdong,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0109543467069289,0,0,0,0,0,0,0,0,0,0.00610149050288821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0842021724855e-19,0.0115595239981296,0,0,0.0113134663153939,-0.00350274219669791,-0.000336678412479054,0,-0.0011063560640532,0,0,0.0280862478676037,0,0
CarbonVol_Hubei,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00902800074464013,0,0,0,0,0,0,0,0,-0.000374567352242792,0,0,-0.0164627450475572,0.0115300359274068,0,0,0,0.0353273244081736,0,0
