,X601857.SH,X600028.SH,X601088.SH,X600011.SH,X600010.SH,X600019.SH,X600585.SH,X601898.SH,X600688.SH,X601600.SH,X600795.SH,X601991.SH,X600027.SH,X600362.SH,X600188.SH,X601992.SH,X600111.SH,X600886.SH,X600157.SH,X600623.SH,X600299.SH,X600547.SH,X600660.SH,X600489.SH,X000709.SZ,X601158.SH,X000792.SZ,X600352.SH,X002466.SZ,X600583.SH,X600309.SH,X000898.SZ,X000539.SZ,X000883.SZ,X000629.SZ,X000630.SZ,X000027.SZ,X002075.SZ,X000959.SZ,X000060.SZ,X000983.SZ,X600021.SH,X300072.SZ,X002470.SZ,X600022.SH,X600176.SH,X601699.SH,X600578.SH,X600315.SH,X600098.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X000027.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.189243926274536,0,0,0,0,0,0,0,0,0.198950829077154,0,0,0,0,0.0707038918585986,0,0.0945788326003122,0,0,0,0,0,0,0.0148249798862254,0,0,0,0,0,0,0,0.268498081348312,0,0,0,0,0,0,0,0,0
X002075.SZ,0,0,-0.399239044357161,0,0,0.418767530033325,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.191005285861599,0,0,0,0,0,0,0,0,-0.134086372353965,0,0,0,0,0,0,0,0,0,0.190834961215197,0,-0.278031452804569,0.289564543635473,0,0.0826896479669424,0,0,0,0,0,0,0.158530044726479,0.0285485174898094,0,0,0,0,0,0,0
X000959.SZ,0,0,0,0,0,0.885968143601022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10540727620531,0,0,0,0,0,0,-0.00643157599657471,0,0,0,0,0,0,0,0,0.0167681638314783,0,-3.46944695195361e-18,0.177625825965725,0,0,0,0,0,0,0,0,0,0,0.0178189790765919,0.0176621250226826,0.232135662593237,0,0,0,0,0
X000060.SZ,0,0,0,0,0,0,0,0,0.152821468881688,3.46944695195361e-18,0,0,0,0.0609110076918557,0.171746341627406,0,0,0,0,0,0,0.0333710313491903,0,0,0,0,0,0,0.0580631841779255,0,0,0.0700838382809654,0,0,0.00914518921472171,0,0,0,0,0,0.20568568164798,0.174541037866662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X000983.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.296526741667492,-0.0409947020192102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0238796184930059,0,0,0.0179301566222639,0.120176266541757,0.0721092405677394,0,0,0,0.124988661079102,0.0672688664732908,0,0.425646281110063,0,0,0,0,0,-0.0232172523168927,0,0,0,0,0,0
X600021.SH,0,0,0,0,0,0,0,0,0,0.0677037457157165,0,0,0,0,0,0,0,0,0,0.0952951092532499,0,0,0,0,0,0.427571823682837,0,0.269544132726185,0.0432725572423805,0,0,0,0,0,0,0,0,0.00826629921811094,0,0,0,0,0,0,0,0.0238804370023325,0,0,0,0.237678137232153,0,-0.0253887327978409,0.0114759119409244,0,0,0,0,0,0
X300072.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.158614843255931,0,0,0,0,0,0.250931846796088,0,0,0,0.170445031098404,0,0,0,0,0,0,0,0,-0.11034590365274,0,0,0.00275622619707994,0,0,0,0.316931896824917,0,0,0,0,0,0.0112868718375967,0.180006975315384,0,0,0,0,0,0
X002470.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.232817446901575,0,-1.73472347597681e-18,0,0,0,0,0.283708857075528,0.181525174536604,0,0,0,0,0,0,0,0.0949721391570317,0,0.0622625692288312,0.004283965346677,0,0,0,0,0,0,0,0,0,0.138613891434983,0,0,0,0,-0.00128884760219214,0,0,0,0,0,0
X600022.SH,0,0,0,0,0,0,0,0,0,0.112115485087024,0,0,0,0,0,0,0,0,0.163399896961816,0,0,0.0778896342432795,0,0,0.0212912168801346,0,0,6.93889390390723e-18,0,0,0,0.255691305231719,0,0,0.129100264701911,0,0.115555447007261,0.0115427803769224,0,0,0,0,0,0,0,0.0179177040575843,0,0,0,0,0,0,0,0,0,0,0,0,0
X600176.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.201962527316626,0,0.064682198609927,0.000421207308981704,0,0,0,0,0,0,0,-6.93889390390723e-18,0.10209261583488,0,0,0,0,0,0.0329276850176255,0,0,0,0,0,0,0,0.176096183942728,0.434374940091695,0,0,0,0,0,0,0,0.0425709751768302,-0.0326288062945942,0,0,0,0,0,0
