,X601857.SH,X600028.SH,X601088.SH,X600309.SH,X002460.SZ,X600585.SH,X600019.SH,X000792.SZ,X600111.SH,X002466.SZ,X002271.SZ,X600660.SH,X000708.SZ,X600010.SH,X000301.SZ,X601600.SH,X601898.SH,X600188.SH,X600362.SH,X600547.SH,X600426.SH,X600176.SH,X600886.SH,X600011.SH,X600219.SH,X000786.SZ,X000723.SZ,X000408.SZ,X000825.SZ,X000932.SZ,X600399.SH,X601991.SH,X000831.SZ,X000959.SZ,X002080.SZ,X600795.SH,X600803.SH,X300037.SZ,X000807.SZ,X000898.SZ,X002409.SZ,X601699.SH,X600352.SH,X002407.SZ,X000027.SZ,X002145.SZ,X600549.SH,X600486.SH,X600489.SH,X600801.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600399.SH,0,0,0,0,0.070182789750818,0,0,0,0.087257605775355,0,0.0756714859467041,0,0.0709986026906297,0,0,0,0,0,0,0,0,0,0,0,0,0.382954180774288,0,0,0,0,0,-0.0128846863097597,0,0,0,0,0,0,0,0,0.243225451934253,0.0975870465524471,0,0,0,0.254401434677105,0,0,0,0,0,-0.0120276785761426,0,0,0,0,0.263794672276893,0,0
X601991.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0133395088237216,0,0.0809982820850864,0.00798207515613078,0,0,0,0,0,0,0,0,0,-0.0163860655911763,0,0,0,0,0.0457220337511696,0,0,0,0,0,0.0718465789367576,0,-0.00422248381205867,0,0,-0.0483676896102702,0.0726813578194338,0,0,0,0,0,0,0,0,0,0,0,0.00354509998866828,0,0
X000831.SZ,0,0,0,0,0,0,0,0,0,0.0344013480706731,0,0,0,0,0.0930899392499502,0,0,0,0,0,0,0,0,0,0,-0.120207536283481,0.112017039107574,0,0,0,0,0,0,0,0,0,0,0,0.0739324717564351,0,0.0703120182603627,0,0,0,-0.0284952546505371,0.0686248303886897,0.363805188249492,0,0,0,0,0.140820740857608,-0.000149115703141946,0,0,0,0,0,0
X000959.SZ,0,0,0,0,0,0,0,0,0,0,0.0420815772088799,0,0.125069656928217,0,0.161773153200614,0,0,0,0,0,0.000490601865160396,0,0,0,0,0,-0.0529247161879653,0,0.240923503779593,0,0,0,0,0,0,0,0,0,0,0.370315233818118,0,0.0915563920277081,0,0,0,0,0,0,0,0,0,0.0076068788678104,0,0,0,0,0,0,0
X002080.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0.0464808888531524,0.0588409133801995,0.0687607656178166,0,0,-0.196684059497375,0,0,0,0.149074319631735,0,0,0,0,0,0.0185555248956243,0,0,0,0,0.148688256001389,0,0,0,0,0,0,0,0.0239687345129524,0,0,0.103537681055889,0.043940274571265,0,0,0,0,0,0,0.105395598128897,-0.042417717315971,0,0,0,0,0,0
X600795.SH,0,0,0,0,0,0,0,0,0,0.0323416543479676,-0.0408999159368078,0,0,0,0,0,0,0,0,0,0,0.0882542660836014,0,0,0,0,0,-0.0174228378784654,0,0,0,0,0,-0.0101681654897937,0.0278148808676618,0,0,0,0.0654331735290621,0,0.0153988743202202,-0.0253659718199315,0,0,0.0439466974004991,0,-0.0433974762015302,0,0,0,0,-0.0146258904721973,0,0,0,0,0,0,0
X600803.SH,0,0,0,0,0,0,0,0,1.73472347597681e-18,0,0,0,0,0,0.0569747396612495,0,0,0,0.10588373157048,0,0,0,0,0,0,0,0,0.0481541787656114,0,-0.0332427015874337,-0.0698714630295033,0,0,0,-0.080460268594769,0,0,0,0.0627763274579434,0,0,0,0,0.053911361824633,0,0,-0.182350015209827,0.0189762142046694,-0.0583804937909423,0,0,0.02054619847803,-0.099641355290157,0,0,0,0,0,0
X300037.SZ,0,0,0,0,0.248209805470397,0,-0.0627211257923234,0,0,0.0318930864449269,0,0.211355131263983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.269396971315523,0,0,0,0,0,0.10541496904746,0,0,0,0,0,0,0,0,0,0,0,0.235396870897964,0,0,0,0,0.070997653800597,0,0,0,0,0,0,0
X000807.SZ,0,0,0,0,2.71050543121376e-20,0,0,0,0.115199659660732,0,0,0,0,0,0.0293975822474065,0.656965962055567,0,0,0,0,0,0,0,0,0,0,0.0431682292111661,0,0,0,0,0,0.0945898774062484,0,0,0,0,0,0,0,0,0,0,0,0.0776112480662961,0,0,0,0,0,0,0,0.0446728563305092,0,0,0,0,0,0
X000898.SZ,0,0,0,-0.0414555277804889,0,-0.129021702290815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0.547105745490349,0,0,0,0.417588894461327,0,0,0,0,0,0,0,-0.0543776495300216,0,0,0,0,0,-0.0115458673946756,0,0,0,0,0.0856466655842038,0,0,0,0,0,0
