,X601857.SH,X600028.SH,X601088.SH,X600011.SH,X600019.SH,X600585.SH,X600010.SH,X601898.SH,X600362.SH,X600547.SH,X601600.SH,X600688.SH,X600795.SH,X600188.SH,X300072.SZ,X600157.SH,X601991.SH,X600027.SH,X601992.SH,X600111.SH,X600886.SH,X600309.SH,X600660.SH,X600489.SH,X000723.SZ,X600623.SH,X000792.SZ,X600299.SH,X002466.SZ,X601158.SH,X000959.SZ,X000898.SZ,X002075.SZ,X000983.SZ,X000709.SZ,X000408.SZ,X600583.SH,X000883.SZ,X000630.SZ,X600352.SH,X600549.SH,X000012.SZ,X000937.SZ,X601699.SH,X000060.SZ,X000539.SZ,X000027.SZ,X002092.SZ,X600176.SH,X600098.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X000027.SZ,0,0,0.047890419878118,0,0,0,0,0.00182787861999703,0,0,0,0,0,0,0.0218792877125699,0,0,0,0,0,0,0.100640797513071,0,0,0,0,0.0753817258639551,0,0,0,0,0,0,0.0122357088588604,0,0,0,0,0,0.0243186579997287,-0.0188278527467813,0,0,0,0.175702341179804,0,0,0.0112245156925302,0,0,0,0,0.00200174603333581,0,0,0,0,0,0
X002092.SZ,0,0,-2.16840434497101e-19,0,0,0,0,0.0863929676076397,0.22550508670342,0,0,0,0,0,0.118489727601809,0.0288002721422629,0,0,0,0,0,0,0,0,0,0.0364366845300589,0.0955967609689727,0,0,0,0.0874529491026143,0,0,0,0,0,0,0,0,0,0,-0.105725268480004,0,0,0.0913286868443002,0,0.788619441751371,0,0,0,0,0,-0.10589046265887,0,0,0,0,0,0
X600176.SH,0,0,0,0,0,0,0,0.0708307447108432,0,0,0,0,0,0,0.0390923014310982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0416779985999082,0,0,0,0,0,0,0,0,0.0508176206153615,0,0,0,0.131207368818854,0,0,0,0.00208951616180204,0,0,0,0,0,0,0,0,0,0,0
X600098.SH,0,0,0,0,0,0,0,0,0,0.16450025203748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00075493652806026,0,0,0,0,0.0237752768167246,-0.0647206430315559,0,0,0.0748709265165208,0,0,0,0,0,0,0,0.208486649662459,0,0.0371165954555021,0.157965281226758,0,0,0.134477878333923,0,0,0,0,0.0811893169457427,0,0,0,0,0,0
Change_TY3M,0,0,0,0,0.0578780995233905,0.0340137639938837,0,0,0.0157784116050278,-0.0483992916207538,0,0,0,0,0.107168102112565,0,0,0,0,0,0,0,0,0,-0.0427608151365581,0,0,0,0,0,-0.0955817627145956,0,0,0,0,0,0,0,0,0,0,0.057724328902569,0,0,0,0,0,0.0453171234216537,0,0,0,0.0219832149229796,0,0,0,0,0,0,0
Slope,0,0,0,0,-0.0940496350456561,0.186795156519277,0,-0.23162108939863,0.705324617653502,-0.0262649172963709,-0.935097448683505,0,0,0,0,0,0,0,0,0,0,0,0.399784974556156,0,0,0,-0.0018862885366174,0,0,0,0.0873604098013729,0.066328096314228,0,-0.113194307182393,0,0,-0.110303158456307,0,0,0,0,0,0,0,0,0,0,-0.190157755959923,0,0,0,0,0.429008828518816,0,0,0,0,0,0
TED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0322578691951525,0,0,0,0,0,0,0,0,0,0.2290800443683,-0.404312178271998,0,0,-0.13647868051075,0,0,0,0,0,0,0,0,0,0.224659843151824,0,0.123838553784129,0,-0.0478265696732512,0,0,0,0,-0.178966046010448,0,0,0,0.517973085290166,0,0,0,0,2.34415792047614,0,0
RealEstate_excess,0,0,0,0,-0.110814950806526,-0.110980677562815,0,0,0.0960743020963403,-0.0562986129645787,0,0,0,0,-0.0989698637317652,0,0,0,0,0,0,0,0,0,-0.0284395414809674,0,0.0621605413799374,0,0,0.0508465058533088,0,0,0.196606748843084,0,-0.0894544041652343,0.191975654760915,0,0,0,0,0,0.0435067256046506,0,0,0,0,0,-0.0308001598450584,0,0,0,0.0217842697708238,0.0793869758586283,0,0,0,0,0,0
MKreturn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0226179682011157,0,0,0,-0.0241928426504394,0,0,0,0,0,-0.00691207571606089,-0.0293053489774037,0,0,0,0,0.0109858788652202,0,0.0249360811383011,0,0,0,0,0,0,0,0,0,0.0571118532430645,0.0708311871899616,0,0,0,-0.166536111236883,-0.0355552351257211,0,0,-0.000457459566855679,0.00836181849729065,0.163342623557746,0,0,0,0,0
MKvol,0,0,0,0,0,0,0,0,0.00324625050112542,0,0,0,0.00190160159544227,0,0,0,0,0,0,0,0,-0.00111447017915778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00329054642108184,0,0,0,-0.00640071625671854,0,0,0,0.00474519921934057,0,0.00375919472213579,-0.00314019226766989,-0.000250150700784634,-0.0066565827423175,0,0,0,0,0,0.0121998626776387
CarbonVol_Shenzhen,0,0,0,0,0,0,0,0,0,-0.00734563270862729,0,0,0,0,-0.00379914850596081,0,0,0,0,0,0,-2.16840434497101e-19,0,0,0,0,0,0,0,0,5.42101086242752e-20,0,0,0,0,0,0.0149879951729857,0,0,0,0,0.000513295355820845,0.030068389864191,0,0,0,0,0.0156084038871379,0,-0.013470626562595,0,0,0.0653512476096277,0,0,0,0,0,-0.223063990250291
