,X601857.SH,X600028.SH,X601088.SH,X600011.SH,X600010.SH,X600585.SH,X600019.SH,X601898.SH,X600688.SH,X600795.SH,X600547.SH,X601600.SH,X600188.SH,X300072.SZ,X601991.SH,X600027.SH,X600157.SH,X600362.SH,X600111.SH,X600886.SH,X601992.SH,X600489.SH,X600309.SH,X600660.SH,X600623.SH,X002466.SZ,X600299.SH,X000792.SZ,X002075.SZ,X601158.SH,X000898.SZ,X000709.SZ,X000723.SZ,X600352.SH,X000408.SZ,X600583.SH,X000883.SZ,X000959.SZ,X000983.SZ,X600549.SH,X000539.SZ,X600176.SH,X000027.SZ,X002470.SZ,X000630.SZ,X600021.SH,X600126.SH,X000012.SZ,X600098.SH,X000060.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600176.SH,0,0,0,0,0,0,0,0,0,0,0,0,-0.0339484005830838,0,0,0,0,0,0.272337274863793,0,0,0,0.0205174652277538,0.308432628903477,0,0.0934581375702927,0,0.106650925617127,-0.050161210302794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.128761671885518,0,0,0,0,0,-6.93889390390723e-18,0,0,0,0,0
X000027.SZ,0,0,0,0,0,0,0,0,0,0,-0.0105538126283738,0,0,0.0174193996961514,0,0,0,0.0492352141438426,0,0,0.0298911982443489,0,0,0,0.00882221873126601,0,0,0.0296559990814519,0,0.123468736157468,0,0,0,0.0350965386993566,0,0,0,0,0.0875433030797775,0,0,0,0,0.0741328778233257,0,0,0,0,0,0.0169700107153202,0,0,0,0,0,0,0,0,0
X002470.SZ,0,0,0,0,0,0,0,0,0.0485156196760269,0,8.67361737988404e-19,0,0,0,0,0,0,0,0,0.0370121847398628,0,0,0.159889889708623,0,0,0.0211661055479901,0,0,-0.0256497228156312,0.161221909927781,0.311789608260166,0,0,0,-0.149531816921481,0,0,0,0,0,0.184919057094136,0,0,0,0,0,-0.0170162940408765,0.015810430262225,0.131982520178309,0.0643689869497304,0,0,0.052049153247858,0,0,0,0,0,0
X000630.SZ,0,0,0,0,0,0,0,0,0,0,0.00368713680884789,0,0,0,0,0,0,0.574533824714263,0,0,0,0.0872247062893636,0,0,0,0.0277976569540354,0,0,0,0,0,0,0,0,4.33680868994202e-19,-0.0259478884829061,0,0.107861647027906,0,0,0,0,0,0,0,0,0,0.0546331295638692,0,-6.93889390390723e-18,0,0.00422042089840935,0,0.186770308977096,0,0,0,0,0
X600021.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0258097154214595,0,0,0,0.086766506165527,0,0,-0.0302409904585343,-0.0122259917851679,0.241858679521802,0,0,0,0,0,0,0,0,0,0,0,0,0.017831951115007,0,0,0,0.0172356358261808,0,0,0,0,0,0,0,0,0,0,0,0.120317524751212,0,0,0,0,0.037374562019032,0,0
X600126.SH,0,0,0,0,0,0,0,0,0.0127344845881985,0,0,0,0.135892948533061,0.116928573648229,0,0,0,0,-0.0757198777826099,0,0,0,0,0,0,0,0,0,0.0980048742677692,0,0,0.105126028344064,0,0,0,0,0,0.0440619788897482,0,0,0,-0.090018731308963,0,0,0,0,0,0,0,0,-1.29963284875682,0.0398855427850993,0.0164370114794413,-0.095167277398691,0,0,-0.0702169772614682,0,0
X000012.SZ,0,0,0,0,0,0,0,0.239228687538097,0,0,0,0,0,0.0675470631511833,0,0,0,0,0.207839613641054,0,0,0.0384556955899641,0,0,0,0,0,0,0,0.022067032024809,0,0,0,0,0.156957507379597,0,0,0,0,0.159962062726546,0,0.0185059214479102,0,0,0,0,0,0,0,0,0,0,-0.165637297238339,0,0,0,0,0,0
X600098.SH,0,0,0,0,0,0,0,0,0,0,-0.0263796206423952,0,0,0,0,0,0,0,0,0,0.0525442131439256,0,0,0,0,0,0,0.202516868744939,0,0,0,0,0,0,0,0,0,0.0258289796953155,0,0.0434559084350768,0,0,0.0854091791146114,0,0,0,-0.103590649871032,0.0533483454200538,0,0,0,-0.060367624242934,0.0962102175620226,0,0,0,0,0,0
X000060.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0.133050755499296,0,0,0,0,0.162718614711217,0.193457029272817,0,0.0191590843532067,0,0,0,0.0304486951036334,0,0,0,0,0,0,0,0.0504399795993014,0,0.0330654149656149,0,0,0,0,0.0727712320714956,0,0,0,0.244516836011619,0,0,0.0852198911088136,0.385979073552499,0,0,0,0,0.0622186109151169,0,0,0,0,0,0
Change_TY3M,0,0,0,0,0,0,0,0,0,0,0,0,4.33680868994202e-19,0,0,0,0,0,-0.0313944886782442,0,0.0388759407343807,0,0,-0.0392309974370045,-0.0284105987945309,0,0,0,0,-0.0460304740730722,0,0,0,0,0.0173386199697654,0,0,0.0111891871610378,0,0.0224972481469688,0,0,0,0,0,-0.107614142588417,0,0,0,0.0656664403700113,0,0.0160136126984338,0,-0.0107237975384659,0,0,0,0,0
Slope,0,0,0,0,0,0,0,0.107761388445917,0,0,0,0,0,0,0,0,0,-0.0956254921978502,0,0,0,-0.032422176858832,0.145902721982909,0,0.271544188246722,0,0,-0.0304208937170314,0,0,-1.04454698653558,0,0,0,0,0,-0.105126256256644,0,0,0.241430245764896,0,-0.1924545972454,0,0,0,0,0.327093007196964,0,0,0,0,0,0.0783660888258922,0,-0.398428439120518,0,0,0,0
TED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.130759172249346,0,0,1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0829821006550465,0,0,0,0,0.344432447351219,0,0,0,0,0,0,0
RealEstate_excess,0,0,0,-0.201674523903152,0,0,0,0,0,0,0.0621812811225259,0,0,0,0,-0.187931946022198,0,0,0,0,0,0,0,0,0.0897022697007336,0,0,0,0,0,0.0215644219372539,0,-0.0336298568312345,0,0.0555714301107158,0,0,0.102172248653492,0,0,-0.119896152387946,0.0389637768250051,0,0,0,-0.0331243032298603,0,0,-0.194648331981234,0,0,0,0,0,0.224155164956724,0,0,0,0
MKreturn,0,0,0,0,0,0,0,-0.0530803546609798,0,0,-0.0103157013793483,0,-0.00662958736811787,0.0711771308030891,0,0,0,0,0,0,0,-0.000821370465772447,-0.14473270626692,-0.0329278461063429,0,0.066537869991204,2.16840434497101e-19,0,0,0,0,0,0,-0.051839825443641,0,0,0,0,0,0,0,0,0,0,0,0,-0.00337105896607979,0,0,0,0,-0.0254192007613198,0,0.0253108141205759,0,0,0,0,0
