,X601857.SH,X600028.SH,X601088.SH,X600309.SH,X600585.SH,X002460.SZ,X600019.SH,X000792.SZ,X600111.SH,X002271.SZ,X600011.SH,X600660.SH,X000877.SZ,X600188.SH,X002466.SZ,X000708.SZ,X600010.SH,X601600.SH,X600547.SH,X601898.SH,X000301.SZ,X600362.SH,X600886.SH,X600176.SH,X600426.SH,X000723.SZ,X000786.SZ,X600219.SH,X600803.SH,X601991.SH,X600795.SH,X002080.SZ,X000408.SZ,X600027.SH,X000807.SZ,X600688.SH,X002353.SZ,X000825.SZ,X600352.SH,X300073.SZ,X601699.SH,X600801.SH,X300037.SZ,X600489.SH,X000959.SZ,X000630.SZ,X000932.SZ,X000983.SZ,X600486.SH,X600157.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600486.SH,0,0,0,0,0,0,0,0,0,0.091240099399751,-0.0208947327841448,0,0,0,0,0,-0.00188298864321029,0,0,0,0.0358261748079756,0,0,0,0,-0.112617040697854,0,0,0,-0.00946912427426094,0,0,0.0919656666482267,0,0,0,0,0,0,0,0,0,0,0,-0.0284562853762001,0,0,0,0,0,0.294951155737178,0.0590736564030489,-0.00272475639902977,0,0,0,0,0,0
X600157.SH,0,0,0,0,0,-0.00653610829240647,0,0,0,0,0.152420243902679,0,0,0.089672136136536,0,0,0.154112078208333,0,0,0,0,0,0,0,0,0,0,0.095610818291184,0.0914099640852802,0,0,0,0,0,0,0,0,0,0,0,0,0.0440404565323877,0,0,0,0,0,0,0,0,0,0.031682443324202,0.0138359624918466,0,0,0,0,0,0
Change_TY3M,0,0,0,0,0,0,0,0,0,0,0,-0.0325518461306978,0,0,0,0,0,0,0,0,-0.0352488572222062,0,0,0,0,0,0,0,-0.036078804836715,0,0,0.0699010548431171,0.0597161731296114,0.116135112497642,0,0,0,0,0,0,-0.0135562834192141,0,0,0,0,0,0,0,0.160231712479163,0,0,0.0572912335826591,-0.240291922112229,0,0,0,0,0,0
Slope,0,0,0,0,0,-0.0615226989812345,0,0,0.0240928919551647,0,0,0,0,0,0,-0.161039147494863,0.200882438982843,0,0,0,-0.00652515088015219,0,0,0,0,0.0150856700350787,0,0,0,0,-0.0198279426368907,0,-0.118052397564389,0,0,0,-0.156846516298042,0,0,0,0,-0.0627776558830089,0,0,0,0,0,0,0,0,0.342386274949503,0,1.04167201913971,0,0,0,0.477159358178279,0,0
TED,0,0,0,0,0,0,0,-0.145732054822234,0,0,0,0,0,0,-0.130399419280326,0,0,0,0,0,0.150867652611175,0,0,-0.120812644352591,0,0,0,0,0,0.0978196385114938,0,0,0,0,0,-0.0742218031331847,0.0436971262737736,0,0,0,0,0.00569693983377079,0,0,0,0,0,0,0,0,0,0.54370181539514,0,0,0,0,-0.861579317776381,0,0
RealEstate_excess,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0242590142016878,0,0,0,0,0,-0.0465456558401681,0,0,0,-0.00853784634549082,0,0,0.000648813318056036,0,0,0,-0.0109559569260734,0.122733613543895,0,0,-0.00281499818952035,0.103046543222801,0,0,0.0102283130734429,0,0,0,0,0,0,-0.0224693883918271,1.0842021724855e-19,0,0,0,0,0,0
MKreturn,0,0,0,0,0,2.16840434497101e-19,0,0,-0.016118551156754,-0.0253990430951707,-0.0435571388103495,0.0799714002876119,0,4.33680868994202e-19,0,0,-0.00200976764563357,0,0,0,2.16840434497101e-19,0,0,0,0,0,0,0,0,0,0.0503350075516632,0,-0.00555471344902528,0.0513276686121625,0,0,0.0726330276899346,0,0,0,0,0,0,0,0,0,0,-0.0241658913080288,0,0,0,0,0.0221408076627531,0,0,0,0.0396727917233734,0,0
MKvol,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00080410709185891,0.000737247286083226,0,0,0,0,-0.000139033150613754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00216150269844709,0,0,0,0,0.00730901875354709,0,0
CarbonVol_Shenzhen,0,0,0,0,0,0,0,-0.179115387383481,0,-0.0791506124052147,0,0,0,0,0,0,0.123433794196165,0,0,0,0,0,0,-0.160842050389441,0,0,0,0,0,0,0,0,-0.0172579167705621,0,0,0,0.184140921360345,0,0,0,0,0,0,0,0.214907103571133,0,0,0,0,0,0,0.498992262138253,-1.03454406267902,0,0,0,0,0,0
CarbonVol_Guangdong,0,0,0,-0.00309801494181091,0,0,0,-0.00831968032165269,0,0,0,0,0,0.0037867394874873,0,0.00971169131173476,0,0,0,0,0,0,0,0,0,0,0,0,0.00260987168684544,0,-0.00142103727320189,0.0035434928117003,-0.000100023322770032,0,0,0,0,0,0,0.0013090227612938,0,0,0,0,0,0,0,0,0,-0.00673052963683241,0,0.0245565313962608,0,0,0,0,-0.00169351737707788,0,0
CarbonVol_Hubei,0,0,0,0,0,0,0,0.003214352551349,0,0,0,0.0262369310659193,0,0,0,-0.0118657400716941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00440365062415772,0,0,-0.06128284673161,0.043178553271956,0,0,0,-0.02251650019054,0,0
