,X601857.SH,X600028.SH,X601088.SH,X600019.SH,X600010.SH,X600585.SH,X601600.SH,X600309.SH,X600011.SH,X601898.SH,X002466.SZ,X601992.SH,X600795.SH,X600688.SH,X002460.SZ,X600362.SH,X600188.SH,X600111.SH,X600516.SH,X600547.SH,X601991.SH,X300072.SZ,X600660.SH,X000898.SZ,X000709.SZ,X600886.SH,X600157.SH,X600027.SH,X600339.SH,X600489.SH,X600808.SH,X000408.SZ,X000959.SZ,X000723.SZ,X600549.SH,X600219.SH,X000983.SZ,X000792.SZ,X002092.SZ,X600352.SH,X000553.SZ,X601699.SH,X601158.SH,X000807.SZ,X000883.SZ,X000630.SZ,X600299.SH,X600008.SH,X000825.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X000825.SZ,0,0,0.012834426056221,0.118560429996975,0,0,0.288403663256253,0,0,0,0,0,0,0,-0.0521586671225405,0,0,0,0.0509209721260803,0,0,0,0,0.133468507811453,0.129625711055793,0,0,0,0,0,0.106643433132757,0,0.140054446458022,0,0,0,0,0.0166938552125381,0,0,0,0,0,0,0,0,0,0,0,0,-0.0176040715549249,0,0,0,0,0,0,0
Change_TY3M,0,0,0,0,0,0,0,-0.160998008323485,0,0,0.0421343100982399,-0.0752879879442137,0,0,0,0,0,0,-0.0692559358083968,0,0,0,0,-0.0413823200747955,0,0,0,0,0,0,-0.0253821665029542,0.0586541999982478,0,0,0,0,0,0.118315136762974,0,-0.0358315977015121,0,0,0,0,0,0,0,0,0,0,0.0280797647272475,-0.0589426676762664,0.141768713027469,0,0,0,0,0
Slope,0,0,0,0,0,0.135994277383852,0,0.508017020127142,0,0,-0.0938387626377216,0,0,0,0,0,0,0.579932824783995,6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0,0,0,1.12223503683906,0,0,0,0,0.0642917051781323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.94616234211254,0,0,0,12.3889532366354,0,0
TED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0096669911185652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.150265509221791,0,0,0,0,0,0,0,0,0,0,0,0,0,0.635857168450867,0,0,0,0,0,0,0
RealEstate_excess,0,0,0,0,0,0,0,0,0,0,0,0.020547570089238,0,0.117915781266252,0,0,0,0.0547432841576278,-0.119236122549719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.198194159599316,0,-0.0735907280027357,0,0,0,0,0.00816495969141392,0,0,0,0,0,0.173246642497918,-0.0168072625211358,0.0172147736380142,0,0,0,0,0,0
MKreturn,0,0,0,0,0,0,0.016241282679677,0,0,0,0,0,0,0,0,0,0,0,-0.0376223958948314,0,0,-0.00652662969838458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00771462331655396,0,0,0,0,-0.0376044777297372,0,0.0093962452492153,0,0,0,-0.110637136924393,0,0,-0.0019630602403917,0.0113863960211888,0,0,0,0,0,0
MKvol,0,0,0,0,0,0,0,0.000351574391846928,0,0,0.000112481492988676,0,0,0,0,0,0,0,0.000321859839350432,0,0,0,0,0,0,0,0,0,0,0,0.000825849947065941,0,0,0,0,0.000239592727401378,0,0.000155802971937981,0,0,0,-8.8728377295723e-05,0,-0.000548400762608594,0,0.000861544064388992,0,0,-2.71050543121376e-20,0,-0.000916888625296838,0.000735658556876787,0,0,0,0,0,0
CarbonVol_Shenzhen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00852838724316914,0,0,0,0,0,0,0,0,0,0,0,0,0.0124192818120764,0,0,0,0,0,0,0,0,0,-0.0135023869505396,0,0,0.00286888676033974,0,0,0,0.0153171916065478,0,0,0.0247586654696999,-0.034151629805039,0,0,0,0,0,0
CarbonVol_Guangdong,0,0,0,0,0,0,0,-0.00581888612117667,0,0,-0.00078994241586352,0,0.00661503268365236,0,0,-0.00232923998904467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0124355031376097,-0.0124932985067013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0227193889572451,-0.0241351068962214,0,0,0,0,0,0
CarbonVol_Hubei,0,0,0,0,-0.000294596454991956,-0.00498858758918876,0,0,0,0,0,-0.0169106430302442,0,0,0,0,0,0,0,0,0,0,0,0,-0.010099693400048,0,0,0,0,0,0,0.0214611877986119,0,0.00806662693753294,0,0,0,0,0,-0.00195223239907434,-0.00903164826427037,0,0,-2.16840434497101e-19,0,0,0,0,0,0,-0.000385224588216026,0.0132026316347126,0,0,0,0,0,0
