,X601857.SH,X600028.SH,X601088.SH,X600011.SH,X600010.SH,X600019.SH,X600585.SH,X601898.SH,X600688.SH,X600188.SH,X600795.SH,X601600.SH,X300072.SZ,X600547.SH,X601991.SH,X600157.SH,X600027.SH,X600362.SH,X601992.SH,X600309.SH,X600886.SH,X600111.SH,X600660.SH,X600489.SH,X600623.SH,X601158.SH,X002466.SZ,X600299.SH,X000792.SZ,X002075.SZ,X000723.SZ,X000709.SZ,X000408.SZ,X000898.SZ,X600583.SH,X000983.SZ,X000883.SZ,X600352.SH,X600758.SH,X000959.SZ,X600549.SH,X000539.SZ,X000027.SZ,X600176.SH,X600126.SH,X000630.SZ,X600021.SH,X002470.SZ,X601699.SH,X000012.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600126.SH,0,0,0,0,0,0,0,0,0.515711618553756,0,0,0,0,0,0,0,0,0,0,0.0787157932677711,0,0,0,0.205262350612327,0,0,0,0,0.411800380488754,0,0,-6.93889390390723e-18,0,0,0,-0.00653908440426409,0,0,0,0,0,0,0,0,0,0,0,0.134501562302298,0,0,-0.465351971746395,0,0.0127514645949417,0,0,0,0,0,0
X000630.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0447860881977426,0,0,0,0.547778646284634,0,0,0,0,0,0,0,0.0534481790625256,0,0,0,0,0,0,0.0819956852059581,0,0,0.100830503793408,0,0,0,0.020869786503041,0,0,0,0,0,0,0,0,0,0.0453272685252996,0,0.0462743668395301,0,0.160055673833972,0,0,0.0466020406077079,0,0
X600021.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.00303048152998425,0,0,0,0,0,0,0.071511878695216,0,0,0.0353525424224669,0,0.00747849362420505,0,0,0.051567846952868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0763421474865751,0,0,0,0,0.0116260206362454,0,0,0.0381536965333077,0.147045509820281,0,0,0,0,0,0
X002470.SZ,0,0,0,0,0,0,0,0,0.435865873925855,0,0,0,0,0,0,0,0,0,0,0.190668858068296,0.0182958651637228,0,0,0,-0.0423208998379896,0.0158926436564817,0,0,0,0,0,0.0594326422935805,-0.0253287867640975,0,0,0,0,0,-0.0784569863366792,0.0476824251930424,0,0,0,0,0,0,0,0,0.026310955021935,0.154292957449444,0,0,0.00867651272497031,0,0,0,0.106108243120741,0,0
X601699.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010464604010924,0,0,0,0,0,0,0.259646500607442,0.102689374663409,0,0.0190443013162695,0,0.556703099332772,0,0,0.0924101128791974,0.103228947892267,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0137031722949419,0,0,0,0,0
X000012.SZ,0,0,0,0,0,0,0,0.326188783665256,0.172094590533682,0,-0.00276282985005494,0,0,0,0,0,0,0,0,0,0,0,0,-8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0,0,0.073326928757432,0,0,0,-0.0538465170503673,0.388677808907903,0,0,0.0662128482135486,0,0,0,0,0,0,-0.0659824947287978,-0.0245061888965194,-0.0300113377184205,0,0,0,0,0,0
Change_TY3M,0,0,0,0,0,0,0,0,0,0.0302662089469073,0,0,0.0902910528563012,0,0,0,0,0,0,0.0159445635233988,0,0,0,-0.0438108326001905,-0.0293243775096564,0,0.00719112938353325,0,0.0210582833087712,0,0,0,0,0,0,0,0,0,-0.0303287410853332,0,0.0472760752541467,0,0,-0.00459589624479314,-0.0383655959414567,0,0,0,0,0,0,0,-0.0338587245708054,-0.0871097325221759,0,0,0,0,0
Slope,0,0,0,0,0,0,0.479336244059538,0.0131847104826877,0,0,0,0,-0.294736265824949,0,0,0,0,0,0,0.309806268808957,0,0,0,-0.0647014339862815,0.325021490227651,0,0,0,0,-0.195868210067585,0,0,0,-0.219463511064012,-0.311490346705826,-0.214462897349367,-0.285445204867918,0,0,0,0.173945519567991,0,0,-0.175974405972451,0,0,0,0,0.13865658229669,0,0,0,0.294314372444792,0,0,0,0,0,0
TED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0110106120134532,0,0,-0.195793055086011,0.189363985053588,0,0,0,0,0,0,0,0,0,0,0,0.0279607604744452,0,0,0,0,0.0207808841943649,0.0744755881924245,0,0,-0.100943814128989,0,-0.0661080718221258,0.422944257465413,0,0,0,0,0,0,0
RealEstate_excess,0,0,0,-0.458553914111256,0,-0.105397693531438,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0320851961135435,0,0,0,-0.0638536401687772,0.0199399486652196,0,0.0567399248230291,0,0,0,0,0,0.0214256287313407,0.0219923024347831,0,0,0,0,0.042604749836012,0,0.0917394731769981,-0.173099380008524,0,0,0.038269354312686,0,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0
