,X601857.SH,X600028.SH,X601088.SH,X600019.SH,X600585.SH,X601600.SH,X600010.SH,X600309.SH,X600011.SH,X601898.SH,X600688.SH,X600660.SH,X600795.SH,X300072.SZ,X600188.SH,X601992.SH,X600362.SH,X002466.SZ,X601991.SH,X600547.SH,X002460.SZ,X600886.SH,X600111.SH,X000898.SZ,X000709.SZ,X600516.SH,X600157.SH,X600027.SH,X600176.SH,X000786.SZ,X000553.SZ,X600352.SH,X000792.SZ,X000408.SZ,X600808.SH,X600219.SH,X000959.SZ,X600489.SH,X601699.SH,X002271.SZ,X000983.SZ,X601158.SH,X600339.SH,X000723.SZ,X000883.SZ,X002092.SZ,X002470.SZ,X000630.SZ,X002110.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X000983.SZ,0,0,0.00937885777983348,0,0,0,0,-0.0422379174586139,0,0.0101197892690294,0,0,0,0,0,0,0.0193891038400486,-0.000714488533887191,0,0,0,0,0.273436952851114,0,0,0,0,0,-0.047646202313417,0,0,0,0,0,0.455593586200251,0,0,0,0.0455491125302768,0,0,0,0,0,0,0,0,0,0,0,-0.00830554275678544,0.017528393062222,0,0,0,0,0,0
X601158.SH,0,0,0,0,-0.0463244960231353,0,0,0.0974464081192296,0,0,0,0,0,-4.33680868994202e-19,0,0,0,-0.0129800994080951,0,0,0,0,0.00473818156950481,0,0.062776875016906,0,0,0,0.0113231101012658,0,0,0,0.02146764690154,0.00695566451228714,0,-0.013369176968728,0,0,0,0,0,0,0.0451924436588713,0,0,0.0174937907645206,0,0,0,0,0,0.0103254933259089,0,0,0,0,0,0
X600339.SH,-3.46944695195361e-18,-0.0715087805687882,0,0,0,0,0,0,0,0,0,0,-0.0256495177124227,0,0,0,0,0,0,0,0,0,0.192575262530955,0,0,-0.000839696769196815,0,0,0,0,0.17038441292382,0,-0.0348553715152806,-8.67361737988404e-19,0,0,0,0.00104668476108829,0,-0.104580881052013,0,0,0,0,0,0.0284969209620759,0,0,0.188556003527778,0,0.00356064326661129,-0.00764187927598707,0,0,0,0.339475592244923,0,0
X000723.SZ,0,0,-0.188488395542932,0,0,0,0,0,0.106432426894514,0,0.268071575137434,0,0,-0.0186727336127153,0.0902135168089675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0544041220249256,-0.0365042281552498,-0.073566733359483,-0.0765981420701699,0,-0.0288957261774416,1.73472347597681e-18,0,0,0,0,0,0,0,0,0.097018964435614,0,0,0.0130241079756323,0,-0.0251713677241422,0.0240911392986118,-0.178980106144796,0,0,0,0,0
X000883.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0198242778397865,0,0,0,0,0,0,0,0.0263565575301286,-0.0116821963083634,0,0,0,0.0566247091649541,0,0,0,0,0,0,0,0,0,0,0,0.0676186129304616,0,0,0,0,0.0212541212364988,-0.0146465582490973,0,0,0,0,0,0
X002092.SZ,0,0,0.133817357347804,0,0,0,0,0.148526956891913,0,0,0,0,0,0,0,0,0,0,0,0,-6.93889390390723e-18,0,0.347342018238616,0,0,0.134171802841784,0,0,0,0,0.0380846759426991,0.063021020410486,0.0290202970130353,0,0.0169380996863745,0,0,0,0,0,0.0759215108114367,0,0,0.219190991025937,0,0,0,0,0.178881023180568,0,-0.0358891040581993,0.0228881993731623,0,0,0,0,0,0
X002470.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0073822913063664,0,0.00620932096811859,-0.0347164319680694,0,0,0,0,0,0
X000630.SZ,0,0,0,0,0,0,0,-0.0352250326026102,0,0,0,-0.0308023845193667,0,0,0,0,0.312857949766087,0,0,0.0354154144609317,0,0,0.146977940756667,0,0,0,0,0,0,-0.0122778291687723,-0.033511386965976,0,0,0,0,0,0,0.0904492713036314,0.0444631053147805,0,0,0,0,0,0,0,0,0,0,0,0,0.0117153541102159,1.73472347597681e-18,0,0,0,0,0
X002110.SZ,0,0,-0.0010467827516429,0,0,0,0,0,0,0,0,0,0.0178046820550204,0,0,0.0582041235012726,0,-0.0356054498962275,0,0,0,0,0,0,0,-0.0214980550807099,0,0,0,0,0.0250722211109166,0,0,-0.0189911127510067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0849720129710368,-0.0450137507103985,0,0,0,0,0,0
Change_TY3M,0,0,0,0,0,0,0,0,-0.000840609672221286,0,0,0,0,0,0,0,0,-0.00670681894945925,0,0,0,-0.0389423760553537,0,0,0,0.0302459195690095,0,0,0,-0.0213996538221992,0,0,-0.00239583068247563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0200755464790355,0,0,0,0,0,0
Slope,0,0,0,0.736307969081887,0,-0.06987895322275,0,-0.119111976837588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32663184403709,0,-0.134518194888941,0,0,0,0,0,0,0,-0.192012289049859,0,0,0,0,0,0,0,0.179027125252608,0,0,0.753199661543646,0,0,0,3.20341032282958,0,0
TED,0,0,0,0,0.131498015961525,0,0,0,0,0,0,0,0,0,0,0,0,-0.277030046781562,0,0,0,0,-0.452155874509223,0,0,-0.335763452115489,0,0,0,0.360186432496367,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.498850951175258,0,0,0,0,0,0,1.01808068932246,0,0,0,0,0,0,0
RealEstate_excess,0,0,0,0,0.237158698009741,0,0,0,0,0,0,-0.110480738408141,0,0.0525820814654067,-0.233231296991061,0,0,0,0,0,0.0517551999517012,0,-0.0788088750598572,0.119718494998921,0,0,0,0,0,-0.0833729232226419,0,0,-0.0126390498311668,0,0,0,0.172315675114255,0,0,0.255076479008576,0,0,0,0,0,0,0,0,0,0,0.0357669588931265,-0.0401789555348895,0,0,0,0,0,0
MKreturn,0,0,0,0.0285547539511166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0134447895785705,0,0,0,-0.0281699705765052,0,0,0,0,0,-0.0163774605317114,0.0805173346123509,-0.0763461027144855,0,-0.0250824657773801,0,0,0.0154010798404284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00876475913647985,0.000369458111430071,0,0,0,0.170036108752585,0,0
MKvol,0,-0.00127301416634993,0,0,0,0,0,0,0,0,0,0,0,0,-0.0031943909738167,0,0,-0.000768381575463422,0,-6.48772291560349e-06,0,-0.00136186750972421,0,0,0,0.00134046716115616,0,0,0,0.00234928038967571,-0.000350391827111538,0,0.00218885484309195,0.000321008923754614,0,0,0,0,0,0,0,0,0,0,0,-0.000776969473207068,0,0,0.00748728911386407,0,0,0.0020198000405901,0,0,0,0,0,0
CarbonVol_Shenzhen,0,0,0.0842900393446575,0,0,0,0,0.0299290261787179,0,0,0,0,0,0,0,0,0,0.0429356377749973,0,0,0,0,0,0,0,-0.0812045809361814,0,0,0,-8.67361737988404e-19,0,0.0129922209996992,0,-0.0830057949004228,-0.0567599677472072,0,0,0,0,0.226577276525705,0,0,0,0,0,0,0,0,-0.00923863783267837,0,0.0656178919517077,0.0504169303175817,0,0,0,0,0,0
CarbonVol_Guangdong,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0311158625014029,-0.0156024879635058,0,0,0,0.00592618891447694,0,0,0.00431873137864565,0.0110349273798146,0,0.0247360203585995,0,0,0,0,0,0,-0.00230240662682413,0,0,0,0,0,0,-0.00478405202813027,0,0,0,0,0.0149376854795343,0.00463249451851463,0.00107600767443493,0,0,0.0250549642760828,0,0
CarbonVol_Hubei,0,0,0,0,0.00535005245121838,0,0,0,0,0,0,0,0,-0.00427027882899779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00231382893804971,-0.00654963875852756,0,0,0.00690484051311158,0,0,0,0,0,0,0.000678173539916008,0,0,0,0,0,0,0,0,0,0,0.00795956630175612,-0.0130951288762948,0,0,0,-0.0314151803924385,0,0
