,X601857.SH,X600028.SH,X601088.SH,X600309.SH,X600585.SH,X002460.SZ,X000792.SZ,X600019.SH,X600111.SH,X002466.SZ,X600660.SH,X002271.SZ,X000877.SZ,X600010.SH,X600011.SH,X000708.SZ,X600188.SH,X601600.SH,X000301.SZ,X600547.SH,X601898.SH,X600362.SH,X600886.SH,X600176.SH,X000723.SZ,X600426.SH,X000786.SZ,X600219.SH,X600803.SH,X002080.SZ,X601991.SH,X600795.SH,X000408.SZ,X600688.SH,X600027.SH,X300073.SZ,X300037.SZ,X000807.SZ,X002353.SZ,X600352.SH,X002326.SZ,X000825.SZ,X600489.SH,X600801.SH,X600516.SH,X000630.SZ,X600157.SH,X600486.SH,X600141.SH,X000959.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601991.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.73472347597681e-18,0,0,0,0,0,0,0,0.512087423560532,0,0,0,-0.0602103045974294,0,0,0,0,0.200158368325781,0,0,0,0,0,0,0,0,-0.078788195369374,0,0,0,-0.0443183475319275,0,0,0,-2.71050543121376e-20,0.138008998915075,-0.12020425987901,0,0.00335003854824321,0,0,0,-0.000211986868482389,0,0
X600795.SH,0,0,0,0,0,0,0,0,0,0.0212423337999931,0,0,0,0,0.0591421891986721,0,0.0766977091387038,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0.0667122089831668,0.21383265857357,0,0,0,0.250408638475706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02452632287463,-0.0905297643405046,0,0,0,0,0,0,0,0
X000408.SZ,0,0,0,0,0,0,0.0884760180625835,0,0,0.449470854959451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0759738643457328,0,0,0,0,0.0517124076382633,0,0,-0.0487957640480387,-0.122205303474807,0,0.00328311481448529,0,0,0,0.155264356673505,0,0,0,-0.0735186944705109,0,0,0,-0.0202773216822071,0,0,0,0,0,0
X600688.SH,0,0,0.0741801341527594,0,0,0,0.0459253423903425,0,0,0.114760922881425,0,0,0,0,0,0,0.0338760701135055,0,0,0,0.0987370898467894,0,0,0,0,0,0,0,0,0,0,0,8.67361737988404e-19,0,0,0,0,0.179182379806064,0.0494815948541853,0,0,0.116099466676633,0,0,0.0930508341033859,0,0,0,0,0,0,0,0,0,0,0,-0.000390488763657909,0,0
X600027.SH,0,0,0,0,0,0,0,0,0,-0.0540686303209978,0,0,0,0,0.325374982485615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00144872862553507,0,0.386297425439909,-0.0156151070187386,0,0,0,0,0,-0.0194587679783848,0,0,0,0,0,0.199756456664884,0,0,0,0,0,0.232386972853495,0.0157594879960011,0,0,0,0,-0.00160668333551903,0,0
X300073.SZ,0,0,0,0,0,0.00319096643723837,0,0,0,0.140084749713792,0,-0.0218816587552904,0,0,0,0,0,-0.0229242110457251,0,0,0,0,0,0,0.0444789568871836,0,0,0,0,-0.0667828715335684,0,0,0,0,-0.0291681080322082,0,0.160094787435572,0,0,0,0.313185239647636,0,0,0,0,0,0,0.0281907201178909,0.0910890067140971,0,-0.0475091486850829,0,0,0,0,0,-0.0479675377340788,0,0
X300037.SZ,0,0,0,0,0,0,0.0396994253500985,0,0,0,0,0,0,0,-0.0027465324080359,0,-0.0113693933034917,0,0.106412527450572,0,0,0,0,0,0,-0.051815705788693,-0.253554248230588,0,0,0,0,0,0,0,0,0,0,0,-0.163285311406682,0,0.181177479526961,0,0,0,0,0,0,0,0.0366071364180515,0,0,-0.0163546554762811,0,0,0,0,0,0,0
X000807.SZ,0,0,0,0,0,0,0.0206578108988158,0,0,0,0,0,0,0,0.0582444503254387,0,0.0747581580405871,0.25305234598981,0,0,0,0,0.0402945052616973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0707019813793044,0,0,0,0.106212568828261,0,0,0,0.0870798731672918,0,-0.00266755701719502,0.0196936187319884,0,0,0,-2.16840434497101e-19,0,0
X002353.SZ,0,0,0,0,0,0,-0.0837978151792404,0,0,-0.0302685392575374,0,0,0,-0.191905048791086,0,0,0.0860259233940183,0,0,0,0.0266020360073991,0,0,0,0,0,-0.0129563520686457,0,0,0,0.165875454913083,0,0,0.0637302841286183,0,0,0,0.122148179945124,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.114170855924264,0.166382590199486,0,0,0,0,0,0
X600352.SH,0,0,0,0,0,0,0,0,-0.0912420113785971,0,0,0,0,0,-0.000481940957458379,0.110952189529539,0,0,0,0,0.00587468909155619,0,0,0,0,0,0,0,0,0,0,0,0,0.0375099811830517,0,0,0,0.0342884130397878,0,0,0,0.0589877668947916,0,0.0215929318548236,0,0,0,0,0,0,0,-0.0147469497107111,0,0,0,0,0.00145725147880095,0,0
