,X601857.SH,X600028.SH,X601088.SH,X600011.SH,X600010.SH,X600019.SH,X600585.SH,X600688.SH,X601898.SH,X601600.SH,X600795.SH,X601991.SH,X600027.SH,X600623.SH,X002466.SZ,X600157.SH,X600886.SH,X600111.SH,X600362.SH,X600547.SH,X600188.SH,X601992.SH,X600660.SH,X600299.SH,X000792.SZ,X600309.SH,X601158.SH,X600489.SH,X600583.SH,X000709.SZ,X000883.SZ,X300072.SZ,X600352.SH,X000898.SZ,X000539.SZ,X002460.SZ,X002407.SZ,X000723.SZ,X000027.SZ,X002470.SZ,X000630.SZ,X600549.SH,X600021.SH,X600176.SH,X600098.SH,X002075.SZ,X000012.SZ,X000983.SZ,X000629.SZ,X600612.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X000723.SZ,0,0,0,0,0,0,0,0,0.179831668867562,0,0,0,0,0,0.0308294930377829,0,0,0,0,0,0,0,0,0.0920012292195452,0.23144430545688,0,0,0,0,0.317344471668404,0,0,0,6.93889390390723e-18,0,0,0.0056211074012321,0,0,0,0,0,0,0,0,0,0,0,4.33680868994202e-19,0,0,0.0090164626442655,0.00340707953692024,0,0,0,0,0,0
X000027.SZ,0,0,0,0,0,0,0.000904717242706214,0,0,0,0,0,0,0,0.0625982921725298,0.0222018000461901,0,0,0,0,0.0171291040384697,0.042505954727628,0,0,0,0,0,0,0,0,0.150458787594659,0,0.0858071978732958,0,0,0,0,0,0,0,0,0,0,0,0.168261442351608,0,0.126950394927766,0.0921045133681686,0,0,0,0,-0.00574602714525207,0,0,0,0,0,0
X002470.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0611146701442568,0,0,0,0,0,0,0,0.041712071011418,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0236483454702263,0,0,0.16457838220116,0.174403724320019,-0.0694075061735786,0.0595375159544175,0,0.0274700535295028,0.255096017857655,0,0,0,0,0.0761954307467167,0,0,0,0,0,0,0
X000630.SZ,0,0,0,0,0.263044784225123,0,0,0,0.0423151177342353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.212481190512077,0,0,0,0.105769233750954,0,0,0,0,0.0850586471765946,0,0,0.0111649452612785,0,0.0447384810872067,0,0,0,0,0,0,0,0,0,0,0,0.0187863531152926,0,0,0,0,0,0,0,0,0
X600549.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0273015954627172,0,0,0.415600569406334,0,0,0.434685445242796,0,0,0,0,0,0,0,0,0,0,0.0870585482222001,-0.155161152626921,0,0,0,0,0,0,0.0650526983184008,0,0,0,0,0,0,0,0.0749172070068753,0.0353101713471578,0,0,-0.0727567320383543,0,0,0.0795040010193489,0,0,0,0
X600021.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0483185882532095,0,0,0,0.00514595375427435,0,0,0,0,0,0,0.0667677683044181,0,0,0,0,0,0,0.157319766747244,0.238269342818188,0,0,0.092207235999598,0,0,0,0,0,0,0,0.115006539890568,0.223564647758513,0.0629898056626636,0,0.0226810349406721,-0.0956647532201838,0,0,-0.0108235045171452,-0.0707212250599899,0,0,0,0,0,0
X600176.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00613611897685699,0,0.0467913590060637,0,0,0,0,0,0,0,0.194580657046491,0,0,0,0,0.103565670117485,0,0.0391220085837189,0,0,0,0,0,0.0548717067073105,0,0,0.178803416599483,0,0,0,0,0,0,0.166530822580489,0,0,0.134922767194388,0,0.0148704626552702,0,0,0,0,0,0,0
X600098.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0597565651425492,0.0217626737934812,0,0,0,0,0,0,0,0.128597055422323,0,0,0,0,0,0,0.0630362235348974,0,0,0,0,0,0,0,0,0,0,0.168344251298587,0,0.197194487058517,0,0,0.234697149902668,0,0,0,0,0,0,0,0,0,0,0,0
X002075.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0416881256861526,0,0,0,0,0.215147028699177,0,0,0,0,0.0086063267536766,0,0,0,0,0,0,0,0.294590506140222,-0.166288660795173,0,0,0,0,0,0.604573892450343,0,0,0,0,0,0,0,0.321884100207506,0.117508128915398,0,0,0,-0.0486742275232126,0,0,0.218785117776565,0,0,0,0
X000012.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0.102095929768448,0,0.0610339522338818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0324991367127294,0.0765457298058011,0.125601626664161,0,0.0519980464044716,0,0,0.0997810975061557,3.46944695195361e-18,0,0,0,0.304819921426835,0,0.139453574485758,0,0,0,0,0,0.00899447756751279,-0.061827417354335,0,0,0,0,0,0
