,X601857.SH,X600028.SH,X601088.SH,X600019.SH,X600585.SH,X601600.SH,X600010.SH,X600309.SH,X600011.SH,X601898.SH,X600660.SH,X600688.SH,X600188.SH,X300072.SZ,X600795.SH,X002466.SZ,X601992.SH,X600362.SH,X601991.SH,X600547.SH,X002460.SZ,X600886.SH,X600111.SH,X000898.SZ,X600516.SH,X000709.SZ,X600157.SH,X600176.SH,X600352.SH,X600027.SH,X000786.SZ,X000792.SZ,X000553.SZ,X000408.SZ,X600489.SH,X600219.SH,X600808.SH,X000959.SZ,X002271.SZ,X601158.SH,X000883.SZ,X002092.SZ,X600339.SH,X000723.SZ,X601699.SH,X600299.SH,X002110.SZ,X002470.SZ,X000630.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600339.SH,0,0,0,0,-0.0429006577602755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.195508326483484,0,-0.0597782015789311,0,0,0,0.0544788368412301,0,3.46944695195361e-18,-0.039593188482843,0.164852024619352,0,0.0467481238772156,0,0,0,0,0,0,0,0,0,0,0.158368942712973,0.178240894810202,0,0,0,0,0.00158811675744012,0,0,0,0.194491909519931,0,0
X000723.SZ,0,0,-0.139624546788764,0,0,0,0,0,0,0,0,0,0.0542559586222209,0,0,0.000175510876192973,0,0,0,0,0,0,-0.0240498310799285,0,0,0,0,0,-0.0775549080056797,0,0,-0.0657858127755987,0.107223680342394,-0.0425343306578159,0,0,0,0,0,0,0,0,0,0,0,0.0842240580334963,0,0,0,0,-0.0537249970251978,0.05193433105372,-0.150392017498992,0,0,0,0,0
X601699.SH,0,0,0.00743299520920923,0.0798926228567203,0.0421056891190069,0,0,0,0,0,0,0,0.237083517318561,0,0,0,0.0876604318231892,0,0,0,0,0,0.481054814204433,0.155171257974517,0,0,0,0,0,0,-0.0276737438952332,0,0,0,0,0,0,0,0,0,0,0,-0.472239111529949,0,0,0,0,0,0,0,0.0193783807373399,0,0,0,0,0,0,0
X600299.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.06869681180944,0,0,0,0,0,0,0,0,0,0.0265387912554964,0,0,0,0,0.0888462191579857,0,0,-0.0229660322070545,0.0389778520592389,0,0.0224967913911301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0853164403527336,-0.0421626466633283,0.0250758881560123,0,0,0,0,0
X002110.SZ,0,0,0,0.0231991383525905,-0.0160207114687978,0,0,0,0,0,0,0,0,0,0,0,0.0350885515922311,0,0,0,0,0,0,0,-0.00463772054796446,0,0,0,-0.0874475889178256,0,0.0185616709804795,-0.000599358302580081,0.0172473410589075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0631809014368175,-0.024945801199931,0,0,0,0,0,0
X002470.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00680564626675173,0,0,0,0.00641093073783167,-0.0348122445834144,0,0,0,0,0,0
X000630.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.29480093426508,0,0.0170432972191825,0.00435544010572895,0,0.153304017302687,0,0,0,0,0,0,0,-0.0336359445798284,0,0,0,0.0724475475881827,0,0,0,0,0,0,0,0,0,0,-0.041275495736098,0,0,0,0,-0.00658298952025681,0.0175187605468384,0,0,0,0,0,0
Change_TY3M,0,0,0.00884061362288835,0,0,0,0,0,-0.0129793229658061,0,0,0,0,0,0,0,0,0,0,0,0,-0.0179817179778421,0,0,0.0505195184525115,0,0,0,0,0,-0.0120433320734218,0,0,0,0,0,0.00168439312833142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0212545335034937,0,0,0,0,0,0
Slope,0,0,0.0728284750561892,0,0.660125604034504,0,0,-0.121637790211709,0,0,0,0,0,-0.13757052696968,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.171367685404318,0,0,6.93889390390723e-18,0,0.110975376108667,0,0,0,0,0,-0.183847593064161,0,0,0,0,0,0,0,0,0,0,0,0,0.551480632991462,0,0,0,4.93076103304823,0,0
TED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25587371512482,0,0,0,0,0,0,0
RealEstate_excess,0,0,0,0,0.173932317135464,0,0,0,0,0,-0.0571414082597889,0,-0.277000405822491,0.0807694240062009,0,0,0,0,0,0,0.0585262873178285,0,-0.0548879903040247,0.125508466724781,0,0,0,0,0,0,-0.0402704169617377,0,-0.0833774476407542,-0.0416060396351732,0,0,0,0.175568818460657,0.257126001756598,0,0,0,0,0,0,0,0,0,0,0,0.0291637163023343,-0.0367607950718483,0,0,0,0,0,0
MKreturn,0,0,0,0.00878401018383213,0,0,0,0.00553017532511805,0,0,0,0,0,0,0,0,0,0,0.0482005543279277,0,0,0,-0.0191694095934928,0,0,0,0,-0.0385390889042108,0,0,0.0829717309726115,-0.0241494875340344,-0.0699543002151127,0,0,0,0,0,-5.42101086242752e-20,0,0,0,0,0,0,-0.0187208272004535,0,0,0,0,-0.00437031425144942,-0.00142883894680157,0,0,0,0.147214002911057,0,0
MKvol,0,-0.000521462425001167,0,0,-0.00152416279256147,0,0,0,0,0,0,0,-0.00297896133965268,0,-0.00163934737444826,0,0,0,0,0,0,0,0,0,0.0013877959202,0,0,0,0,0,0.00256101108390696,0,0,0.00107729149408015,0,0,0,0,0,0,0,0,0,0,0,-0.00168424145438586,0,0,0,0,-0.00118955407125357,0.00325812348793765,0,0,0,0,0,0
CarbonVol_Shenzhen,0,0,0,0,0,0,0,0,0,0,0.0863000930320294,0,0,0,0,0.0365241316363152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.064631661657158,-0.0775629859323644,0,0,0,0,0,0,0,0,0,0,0,0,-0.0893173161479587,0,-0.0114260281515173,0,0,0,0.0319056011668252,0.0965889200891245,0,0,0,0,0,0
CarbonVol_Guangdong,0,0,0,0,0,0,0,0,0,0,0,0,-0.000145956346689203,0.0136929182903093,0,0,0,0,0,0,8.67361737988404e-19,0,-0.0125165408865334,0,0.0206042513010155,0,0,0,0,0,0.0162682961671327,-0.00953590047918291,0,0,0,0,0,0,0,0,0,-0.00455318398449641,0,0,-0.0153571246207533,-0.00642473420876152,0,0,0,0,0,0.0234838738047296,0.00300675559000508,0,0,0,0,0
CarbonVol_Hubei,0,0,0,0,0.0151781760012632,0,0,0,0,0,0,0,0,-0.0129662056428976,0,0,0,0,0,0,0,0,0,0,-0.000584269194052224,0,0,-0.00100220403053172,0,0,-0.00554295772453276,0.00672590608371681,0,0,0,0,0,0,0.00236428342408773,0,0,0,0,0,0,0,0,0,0,0,0.00472209937834497,-0.0143322430793516,0,0,0,0,0,0
