,X601857.SH,X601088.SH,X600028.SH,X600309.SH,X600188.SH,X002466.SZ,X002460.SZ,X600585.SH,X000792.SZ,X000301.SZ,X601898.SH,X600019.SH,X600111.SH,X600011.SH,X600660.SH,X600010.SH,X002271.SZ,X000877.SZ,X000708.SZ,X600547.SH,X601600.SH,X600886.SH,X600795.SH,X600426.SH,X600176.SH,X600362.SH,X000629.SZ,X600803.SH,X000408.SZ,X601991.SH,X600348.SH,X600027.SH,X000983.SZ,X600096.SH,X000723.SZ,X600160.SH,X000786.SZ,X002080.SZ,X600219.SH,X300073.SZ,X601699.SH,X600141.SH,X002353.SZ,X600157.SH,X600549.SH,X600378.SH,X000933.SZ,X300037.SZ,X600295.SH,X600801.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X000877.SZ,0,0,0,0,0,0,0,0,0,-0.0524520311607757,0,0,0.043742691032406,0.0686663704961447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.62551191503509e-06,0,0.01080510089939,0,0,0,0.0737700409950717,0.234225030240827,0.0821663131027127,0,0,0,0.0847927473134498,0,0,0,0,0,0,0.0275997344137624,0.0571369580648986,0,0,0,0,0,0,0,0,0
X000708.SZ,0,0,0,0,0,0,-0.022613257617194,0,0,0.0522421302333443,0,0,0,0,0,-0.0305253999963803,0.116565661836679,0,0,0,0,0,0,0.145499528428047,0,0,-0.0426348942927979,0,0,0,0,0.203284586984654,0,0,0.0723421394344217,0,0,0,0,0.0495533503726486,-0.142081892790618,0,0,0,0.0933371600377135,0,0,0,0,0,0,0,0.0467458914665305,0,0,0,0.0155885533375525,0,0
X600547.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.161243946415916,0,0,0.0563754841774396,0,0,0,0,0,0,0,0,0,0,-0.0137512247668566,0,0,0,0.0058156391768012,0,0,0,0,0,0,0,0,0,0.00108429545297382,0,0,-2.16840434497101e-19,0.00496108358549443,0,0,0,-0.0141797399355663,0,0
X601600.SH,0,0,0,0,0,0,0,0,0.25240631052776,0,0,0,0.165187009291122,0,0,0,0,0,0,0,0,0,0,0.0949873019189621,0,0,0.0168245233451883,0,0,0,0,0,0,0.0361608771466935,0,0,0.0641387871605524,0,0.0791728476156977,0,0,0,0,0,0,0,0.0536205592034668,0,0.0398074163512032,0,0,0,0,0,0,0,-0.000866073701458737,0,0
X600886.SH,0,0,0,0,0,0,1.73472347597681e-18,0,0.32069714375541,0,0,0,0,0.0198051033502027,0,0,0.00916996879833436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.173129369719784,0,-0.0257645598679305,0,0,0,0,0,0,0,0,0,0,-0.070933534467441,0,0,0,0,0,0,0.00970796773780365,0,0,0,0,-0.00776279660633709,0,0
X600795.SH,0,0,0,0,0,0,0,0,0.0169072276766481,0,0.157976553512669,0,0,0.222384105059282,0,0.168632806151044,0,0,0,0,0,0,0,0,0,0,0.0160385491419809,0,0,0.359174781093396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.056708105404949,0,0,0,0,0.0545283610299615,0,0.0799261562016251,0.151657808504561,0,0,0,-6.93889390390723e-18,0,0
X600426.SH,0,0,0,0,0,0,0,0,0,0.0607396504880852,0,0,0.161334986943517,0,-0.059237991577798,0,0,0,0.115160111791257,0,0.167016021864718,0,0,0,0,0,0.0992546068114472,0,0,0,-1.73472347597681e-18,0,0,0.143670446760007,0,0,0,0,0,0.118781299099335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.059375981787323,0,0
X600176.SH,0,0,0,0.173069101626182,0,3.46944695195361e-18,0,0,0,0,0.125675973014893,0,0,0,0,0.12392365644949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0926154873424646,0.0114667514788533,0,0,0.103783951226392,0,0.0163202631385547,0,0.0430242227077806,0,0,0,0,0,0,-0.0435413166560547,-0.0629339083873375,0,0,0,0.00155667274418156,0,0
X600362.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0926301980301389,0,0,0.0072392988676219,0,0,0.0115708137203273,0,0.0930127071241733,0,0.0707637979916612,0,0,0.0813693725741781,0,0,0,0.00611253847383052,0.087294767969521,0.081516186148612,0,0,0,0,0,0,0,0,0,0,0,0,-0.0321509200303539,0,0,0,-0.0105510800089667,0,0
X000629.SZ,0,0,0,0,0.0192693266646536,0,0.0784304484167042,0,0,-0.0641842348912805,0,0,-0.318049418126792,0.151755980712113,0,0,0,0,0,0,0,0,-0.474676482445349,0,0,0,0,0,0,0,0,0.31497933029794,0,0,0,0,-0.116143321838563,0,0.0697973840648777,0,0,0.298061570282371,0,0,0,0,0,0.435489892290239,0.267645493627921,0,0,0,0.00692609245321874,0,0,0,0.147245342478017,0,0
X600803.SH,0.0553808967952825,0,0,0,0.128704984768764,0,0,0,0,0,0,0,0.0766162196006999,0,0,-0.0168601585356716,0,0,0,0,0,0,0,0,0,0,-0.0386033557975333,0,0,0,0.0254406980973561,0,0,0,0,0.0464070414311508,0,0,0.0949451219238513,0,0,0,0,0,0,0,0,0,0.0241296470437801,0,0,0,-0.0371618986795588,0,0,0,0.030482808895019,0,0
X000408.SZ,0,0,0,0,0,0.356363299700905,0,0,0.374390341832199,-0.113182494064959,0,0,0.148072227999477,-0.0525639883559835,0,0,0,0,0,0,0,0,-0.134920780859989,0,0,0,0,-0.206740742345942,0,0,0,0,-0.0652518297539888,0,0,-0.0728780691959246,0,0,0,0.20701664070322,0,0,0,0,0,-0.0526202549134303,0,0.0997661273371893,0,0,0,0,-0.0109726017581904,0,0,0,-0.00572228131570161,0,0
X601991.SH,0,0,0,0,0,0,-0.0175030718855679,0.0557366465204401,0,0,0,0,0,0.00600424805002098,0,0,0,0,0.0285431380377216,0,0,0,0.133440435151151,0,0,0,0.146215129276485,0,0,0,0.0268427914307208,0.311026623304873,0,0,0,0,0,0.0162278753619131,0,0,0,0,0,0.281526424701915,0,0,-0.253387915514541,0,0,0,0,0,0,0,0,0,0.00645145644880864,0,0
X600348.SH,0,0,0,0,0.412255450282578,0,0,0,0.131369700752706,0.0568540201386456,0,0,0,0,0.0452008514419472,0.108818718707591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.412463764278554,0,0,0,0,0,0,0.0679833779408384,0,0.086955396979227,0,0,0,0,0,0,-0.0484456017614741,0,0,0,0,0,0,0
X600027.SH,0,0,0,0,0,0,0,0,0.0524956481319657,0,0,0,0.0124368117468378,0.203272138476603,0,-0.255432194659323,0,0,0,0,0,0,0,0.0538832633958327,0,0,0.141915614481844,0,0,0.287747355157212,0,0,0,0,0,0,0,0,0,0.0241325766341525,0,0,0,0,0,0,0,0,0,0,0,0.0208574750075617,0.0579917715224624,0,0,0,2.16840434497101e-19,0,0
X000983.SZ,0,0,0,0,0,0,0,0,0.0401658265151156,0,0.27694303563771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0194030653528941,0,0,0,0,0.00979769719935572,0,0,-0.0896377308560692,0.806934382271654,0,0,0,0,0.0574811547891407,0,0,0,0,0,0.0272801979607224,0,0,0,0,-0.00804403256041294,0,0
