,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600019.SH,X600011.SH,X600309.SH,X600010.SH,X600547.SH,X601898.SH,X600660.SH,X601991.SH,X600886.SH,X600688.SH,X601600.SH,X600795.SH,X600362.SH,X600027.SH,X600188.SH,X000898.SZ,X601992.SH,X600176.SH,X600516.SH,X002466.SZ,X000709.SZ,X600111.SH,X600352.SH,X600299.SH,X002460.SZ,X600489.SH,X000629.SZ,X600808.SH,X601158.SH,X600801.SH,X600219.SH,X000786.SZ,X000825.SZ,X000553.SZ,X000883.SZ,X600583.SH,X002271.SZ,X002110.SZ,X002470.SZ,X000408.SZ,X600612.SH,X600021.SH,X000539.SZ,X600157.SH,X000630.SZ,X601699.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600801.SH,0,0,0,0.373087662186608,0,0,0.0698264641414977,0,0,0,0,0,0,0,0,0,0,0.112353868533211,0,0,0.0104279757753182,0,0,0,0,0,0,0,0,0,-0.155273259500604,0,0,0,0,0,0,0,0,0,0.223388821329526,0,0.0880478551995519,0,0,0,0,0,0,0,0,0.00240610608361989,0,0,0,0,0.00412554956702981,0,0
X600219.SH,0,0,0,0,0,0,0,0.205522042424592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0852069996220021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125924186477111,0,0,0,0.0359899009321978,-0.00514318673447407,0,0,0,0.0176570840589317,0,0,0,0,0.10663495831523,0,0
X000786.SZ,0,0,0,0,0,0,0.0735701131690161,0,0,0,0,0,0,0,0,0,0,0.0544120734367107,0,0,0.255936195156014,0.107324505624913,0.0762731755710956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.254256506274817,0,0,0.237572913309158,0,0,-0.0084796101232861,0,0,0,-0.00701162775089552,0,0,0,0,0.0019442140658107,0,0,0,0,0,0
X000825.SZ,0,0,0,0,0,0,0.0526959575035263,0.0236100175612656,0,0,0,0,0,0,0,0,0,0.0202051986991761,0,0,0,0,0.107057859032073,0,0,0.0311946357337856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.120206459080644,0.228692648736342,0.0218811986038732,0,0,0,0.0483513829659342,0,0,0,0,0.0115775557700734,0.000492623995633824,0,0,0,0,0,0
X000553.SZ,0,0.0787864148866336,0,0,0,0,0.0757430440498924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.144226925541802,0,0,0,0,0.064741760803062,0,0,0,0,0,0,0,0.136277493861353,0,0,0,0,0,0,0.0758994336966738,0,0,0.110001644047649,0.0255932836471132,-0.00396522572392864,0,0,0,-0.0144611464158044,-0.0196989300957143,0,0,0,0,0,0
X000883.SZ,0,0,0,0,0,0,0,0,-0.0388429194622171,0,0,0,0,0,0,0,0,0,0.0565323367141146,0,0,0,0,0,0,0,0,0,0,0,0,0.0743661128586733,0,0,0,0.0630845912351582,0,0,0,0,0,0,0,0,0,0.164818535717408,0,0.00465162894301878,0,0,0,0.00789297112356263,0.0199081169733621,0,0,0,0.0578226454356976,0,0
X600583.SH,0,0.572554797314884,0,0,0,0.0106962512635005,0,0,0,0,0,0,0,0,0,0,0,0.149920926962814,0,0,0,0,0.143533813603488,0,0,0,0,-0.0911762388698772,0,0,0.144373985613995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0231602412668591,0.0310738590496099,0,0,0,0,0,0
X002271.SZ,0,0.0393208084369947,0,0,0,0,0,0,0,0,0.441520642499545,0,0,0,0,0,0,0,0,0,0.00207416749390684,0,0,0,0,0,0.261616448465274,0,0,0.122394708332987,0,0,0,0,0,0.488154791549497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00139048723252471,0.0667433207702653,0,0,0,0,0,0
X002110.SZ,0,0,0,0,0.308092163301965,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0205770320253025,0,0,0.154689365991257,0.0519564651435725,0.0882177006470813,0,0,0,0,0,0,0,0.402354757326904,0,0,0,0,0,0,0,0,0,0,0.191391491332133,0,0,0,0,0,0,0,0,-0.000653759533004533,0,0,0,0,0,0,0
X002470.SZ,0,0,0,0,0,0.0697426156632818,0,-0.0521578970090691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0714331065110509,0,0,0.298811975165074,0,0,0,0,0.185414052990723,0,0,0,0,0,0,0,0,0,-0.0660323455807337,0.172486211269488,0,0.177649438757586,0,-0.218776236609558,0,0.123273274626852,0,0,0,0.0144597140976347,-0.07402212175444,0,0.0890384990141858,0,0,0,0
X000408.SZ,0,0,0,0,0,0.11499061645914,0,0,-0.0366758784013621,0,0,0,0,0,0,0,0,0,0,0,0.123078718983971,0,0,0,0,0,0,0.124378878547641,0.0485312370285011,0,0,0.0773103101846775,0,0,0.158210226701352,0,0,0,0,0,0,0.132230147586794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0.0559805632784716,0
X600612.SH,0,0,0,0,0,0,0.0579598595634828,0,0,0,0,0,0,0,0,0,0,0,0.000282904188738953,0,0,0,0,0,0,0,0,0.021949400869369,0,0,0,0,0,0,0,0,0,0,0,0,0.210059655318067,0,0,0,0,0,0,0,0,0,0,0.048603429835717,-0.0129987807838222,0,0,0,0,0,0
X600021.SH,0,0,0,0.0947385901061735,0,-0.0868242837896231,0,0,0,0,0,0,0.117435652875832,0.0764181800655511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.146379169176823,0,0,0,0.163686783603489,0,0.295868690377838,0,0,0,-0.371318097791849,0.00930949545409624,-0.0395188544792929,0,0,0,0.0432670684290838,0,0
