,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600019.SH,X600011.SH,X600309.SH,X600010.SH,X600547.SH,X601898.SH,X601991.SH,X600660.SH,X600688.SH,X600886.SH,X601600.SH,X600795.SH,X600027.SH,X600362.SH,X600188.SH,X601992.SH,X000898.SZ,X002466.SZ,X600176.SH,X600111.SH,X600352.SH,X000709.SZ,X600299.SH,X600516.SH,X600489.SH,X002460.SZ,X601158.SH,X600808.SH,X000629.SZ,X600219.SH,X600801.SH,X000786.SZ,X000825.SZ,X000883.SZ,X000539.SZ,X300072.SZ,X600612.SH,X000553.SZ,X000301.SZ,X000408.SZ,X600583.SH,X000027.SZ,X002110.SZ,X002470.SZ,X000630.SZ,X600339.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X000630.SZ,0,0,0,0,0,0,0,0.122005442243341,0.0420877766219117,8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0,0,0.0496753843761433,0,0,0,0,0,0.121612659078769,0,0,0,0,0,0,0,0,0.1276129754053,0,0,0.0779948573567206,0,0,0.0695460037557114,0,0,0,0.0897824818896708,0,0,0.0575160118285449,0,0.00415942572187081,0,0,0,0,0,0,0
X600339.SH,0.401973751243106,0.10384649101123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0,0,0.164450338951616,0,0,0,0,0.216659305072688,0,0,0,0,0,0,0.00259612851282743,-0.0717912858027151,0,0,0,0,0,0
Change_TY3M,-0.445651664883001,0.0834553226181401,0,-0.0506082430416224,0,0,0,0,-0.258361289600634,0,0,0,0,0,0,0,0,0,-0.195890431502428,0,0,0,0,0,-0.153450087563458,0,0,0,-0.12889004186817,0.197339070626058,0,0,0.0840608649424238,0,0,0,0,0,0,0,0,0,0,0.410021215091309,0,0,0,0,0,0,0,-0.0162658518637465,-0.0491709969048794,0,0,0,0,0,0
Slope,0,0,0,0,0,0,-0.176558064991332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0910953667476669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.19041166783656,0,0,0,0,0,0,0,0,0,0,0,0.770439646390751,0,0,0,-2.36637282604126,0,0
TED,0,0,0,0,0.799170017908298,0.295593418485651,0,0,0,-0.739362094513346,0,0,0,0,0,0,0,0,0,0,0.212754938567549,0,0,0,0,0,-0.465683793461497,0,-0.157824902023291,0,0,0,-0.143743941404804,0,0,0,0,0,0,0,-0.329304372804871,0,0,0,0.0133142905172888,0,0,0,0,0,-0.454792023083546,0.282126221027775,0,0,-0.141759154641011,0,0,0,0
RealEstate_excess,0,0,0,-0.235063060054986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00108057092436154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.132859098215172,0,0,0,0,0,0,0,0,0,0,0,0,-0.00401658526898717,0,0,0,0.0578943758083437,0,0
MKreturn,0,0,-0.0317286062467604,0,0,0,0,-0.0493883318934106,0,0,0,0,0,0,0,0,0,0,0,0,-0.111061545252923,0,0,0,0,-0.205591693601009,0,0,-0.0513169722316732,0,0,-0.00363588328095549,0,0,-0.0587258734041074,0,0,0,0,0,0,0,0,0,0,0,0,0.101376151622505,0,0,0.0511173663863716,-0.0129375762381144,0,0.0639865833604015,0,0,0,0,0
MKvol,0,0.00450409840154603,0,0,0.000476346293791956,0,0,-0.000292386280027718,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00613215924029283,0,0,0,0,0,-2.16840434497101e-19,0,-2.16840434497101e-19,0,0,-0.00331612037651418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00196818776891019,0.00209497177510513,0,0,0,0.00432670700955436,0.0354837065380549,0
CarbonVol_Shenzhen,0,0,0,0,0.36437137814196,0,-0.0642772600265297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0766299531717313,0,0,0,0,0,0,0,0,0,0,-0.15294957352635,0,0,0,0,0,0.215442262843166,0,-0.0946656875022961,0,0,0,0,0,0,0,0,-0.10032358754766,0,-0.0890279057600034,0,0.301147458416517,0,0,0,0,0
CarbonVol_Guangdong,0,0.0544316059500169,0,0,0,0,0,-0.0141463911827331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0367880718668135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0426186055140946,-0.0496860876700369,0.0918649468145933,0,0,0,0,0,0
CarbonVol_Hubei,0,0,0,0,0,0,0,0,0,0,0,0.0122555171603375,0,0,-0.0123008397715213,0,0,0,0,-0.00350617390135462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0842021724855e-19,0,0,0,0.00621636299961556,0,0,0,0,0,0,-0.00366338207509583,0,0,0,0,-0.00337970584189179,0.00874244046311748,-0.00494287383254672,0,0,0.0497296095974949,0,0
